"code","iso","country","AMP.raw.1990","AMP.raw.1991","AMP.raw.1992","AMP.raw.1993","AMP.raw.1994","AMP.raw.1995","AMP.raw.1996","AMP.raw.1997","AMP.raw.1998","AMP.raw.1999","AMP.raw.2000","AMP.raw.2001","AMP.raw.2002","AMP.raw.2003","AMP.raw.2004","AMP.raw.2005","AMP.raw.2006","AMP.raw.2007","AMP.raw.2008","AMP.raw.2009","AMP.raw.2010","AMP.raw.2011","AMP.raw.2012","AMP.raw.2013","AMP.raw.2014","AMP.raw.2015","AMP.raw.2016","AMP.raw.2017","AMP.raw.2018","AMP.raw.2019","AMP.raw.2020","AMP.raw.2021","AMP.raw.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7023360009506,54.7023360009506,54.7023360009506,57.012724223672,57.012724223672,57.012724223672,57.012724223672,178.80380429831,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848,178.803804298848
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0510795017929,26.0510795017929,26.0510795017929,26.0510795017929,26.0510795017929,26.0510795017929,26.0510795017929,26.0510795017929,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387,26.5588653839387
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221
660,"AIA","Anguilla",0,0,0,0,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,53.0280892188009,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376,70.7002556579376
28,"ATG","Antigua and Barbuda",18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,18.5231818219811,34.7637218497582,34.7637218497582,34.7637218497582,34.7637218497582,34.7637218497582,34.7637218497582,156.255029740557,156.255029740557,156.255029740557,156.255029745175,156.255029745175,156.255029745175,156.255029745175,156.255029745175,156.255029745175,291.12731595883,291.12731595883,291.12731595883,291.12731595883,291.12731595883,291.12731595883,291.12731595883,291.12731595883
32,"ARG","Argentina",874.739828501599,882.963751381933,882.963751387081,882.963751384663,882.963751384663,882.963751384663,882.963751384663,882.963749611009,883.266803435717,3493.84582926453,3503.14562825868,3503.1456280594,7027.96694315843,7117.33275769885,7117.33275770158,7117.33275770158,7574.42481308326,7574.4248130757,7574.4248130757,7575.45190531022,7575.45190531263,7575.45190531022,7582.5256583828,9859.22655371936,9859.22654958412,9859.22654957897,9909.74468756722,9909.74468756722,9909.74468756722,93780.8328038557,124455.797876044,124455.797876044,124455.797876044
51,"ARM","Armenia",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",1487.32971060407,1752.01107586958,1764.69959390448,1784.32726909865,1787.49350103651,1787.49350103626,1817.26453569604,3069.14504926446,3747.11741739549,6058.30082944685,6619.84551234971,7431.2734710782,7740.32510918077,30460.3813729528,30469.177429766,376889.399928819,381070.241332734,387753.091126656,392407.859210554,392820.515919311,424353.047546173,424709.773778905,427335.593086403,811249.846317424,811252.932017449,811413.998933916,811416.15672349,828173.518969861,836373.063269389,3015729.50098543,3021672.87379604,3021672.87379615,3021672.87379615
40,"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"AZE","Azerbaijan",NA,NA,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,474.299785512162,474.299785512162,474.299785512162,474.299785512162,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555
44,"BHS","Bahamas",692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680196611,692.940680196611,692.940680196611,692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680194714,825.450041996696,825.450041996696,825.450041996696,825.450041996696,825.450041996696,825.450041996696,1030.04813127475,1156.85972549647,1163.84830386738,1163.84830386738,1163.84830386738,1163.84830386738,1163.84830386738,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,33.7164407846496,33.7164407846496,33.7164407846496,33.7164407846496,33.7164407846496,36.198500883883,64.9443873913149,64.9443873913149,64.9443873913149,70.2932565284275,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1642.04192910764,1642.04192910764,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774
52,"BRB","Barbados",10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418
112,"BLR","Belarus",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
