"code","iso","country","CDL.raw.2001","CDL.raw.2002","CDL.raw.2003","CDL.raw.2004","CDL.raw.2005","CDL.raw.2006","CDL.raw.2007","CDL.raw.2008","CDL.raw.2009","CDL.raw.2010","CDL.raw.2011","CDL.raw.2012","CDL.raw.2013","CDL.raw.2014","CDL.raw.2015","CDL.raw.2016","CDL.raw.2017"
4,"AFG","Afghanistan",37.421,69.184,77.967,76.12,87.307,54.157,88.374,36.946,29.348,34.436,39.18,18.369,2.424,-0.046,-3.058,-3.257,-3.444
8,"ALB","Albania",1400.964,334.013,228.536,1238.32,253.548,350.004,2001.405,2102.661,503.047,249.196,473.132,2179.529,1140.23,448.434,92.277,395.572,929.663
12,"DZA","Algeria",1395.848,1204.428,1464.799,1796.381,1755.084,2179.49,2138.945,3375.461,4210.136,1013.247,3217.388,4849.154,4329.212,5923.517,3369.034,4574.734,23343.598
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",54667.885,31193.223,28993.669,40725.179,56043.552,43376.462,91414.291,63630.557,109279.099,82368.719,113996.304,105105.633,113140.266,128541.857,101248.746,146309.353,188920.036
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",11.332,7.704,8.108,12.001,30.253,27.188,17.312,19.629,31.534,8.603,10.898,14.206,12.719,14.18,2.745,7.211,19.009
32,"ARG","Argentina",97207.99,63605.789,157864.854,256846.122,212019.129,180320.542,235926.681,318110.346,161414.474,214779.66,260866.928,252548.165,215315.234,145019.301,97806.648,132914.257,142403.426
51,"ARM","Armenia",47.952,65.437,141.317,35.153,35.457,47.041,19.181,39.827,68.403,60.585,59.187,70.254,14.934,10.592,-7.325,2.767,13.97
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
