"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.20091717290201e-07,5.93157874181331e-07,5.76608275205533e-07,5.4596609144722e-07,5.3109041719845e-07,4.90045640798906e-07,5.55979845874294e-07,5.22702025282268e-07,5.26975439024267e-07,6.02929748149533e-07,5.04099109424298e-07,4.53311079341518e-07,4.40770594892703e-07,4.18893984053773e-07,3.9711730862133e-07,3.84767235023844e-07,3.79987316454333e-07,4.1486498113102e-07
8,"ALB","Albania",7.14265502723714e-07,8.55833292225027e-07,6.53806382976636e-07,6.02470755668835e-07,5.92658093344125e-07,5.24329129513565e-07,4.53301796656154e-07,4.51621523190888e-07,4.24134520379153e-07,4.49660514626377e-07,4.27789806795397e-07,4.0199082979331e-07,4.16855327995768e-07,4.19103111927362e-07,3.87714656803176e-07,3.71211619243058e-07,3.33850716195697e-07,3.07933530996132e-07,2.9446994135906e-07,2.80206980901666e-07,2.78230629605085e-07,2.89373153516071e-07,2.76888375038063e-07,2.82178727345495e-07,3.01448923526372e-07,2.65438798595194e-07,2.56974089273762e-07,2.70301691946173e-07,2.4475158267159e-07,2.45074713365787e-07
12,"DZA","Algeria",6.92590592613033e-07,7.10617952250316e-07,7.16943157635595e-07,7.59651445639927e-07,7.81362685250079e-07,8.20577916194409e-07,8.07342511522565e-07,7.31791194412754e-07,7.63839568748661e-07,6.95972663409741e-07,6.88206326277377e-07,6.21581504041097e-07,5.91485220561524e-07,5.88914394767126e-07,5.48237352412052e-07,5.77753781216477e-07,5.64654414684825e-07,5.45085787588215e-07,5.45845088249288e-07,5.39428466801136e-07,5.2856252917812e-07,5.23073703087873e-07,5.43652959046276e-07,5.35248172231547e-07,5.52041837676922e-07,5.53794518306058e-07,5.48265167064689e-07,5.47320970379972e-07,5.62765105902868e-07,5.62436017047381e-07
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",8.34359492392147e-07,8.24877352524679e-07,8.6212766515405e-07,1.20699683040868e-06,1.35982880634085e-06,1.42753975621425e-06,1.33426235395208e-06,1.22122564141926e-06,1.25896580817539e-06,1.21616171245481e-06,1.13189942024341e-06,1.06884296477911e-06,9.59273894561161e-07,9.86619720676831e-07,9.22412065379553e-07,7.92864194079696e-07,6.49634475902052e-07,5.80025316372593e-07,5.27209734603872e-07,5.29670423835634e-07,5.55690449944488e-07,5.36197723703592e-07,5.00223331931686e-07,4.83394302595328e-07,5.04429259078964e-07,4.76408319199462e-07,4.91173293734774e-07,4.87706819588848e-07,4.72510825202956e-07,4.89615170633342e-07
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",3.26348521088384e-07,3.14548216722278e-07,3.08337957907192e-07,3.00194340437455e-07,2.83623804444896e-07,3.04591026292072e-07,2.99209408174582e-07,2.995821012287e-07,2.99098336367943e-07,2.99582898741974e-07,2.90331907604586e-07,3.07857036232763e-07,3.30381597164951e-07,3.29090744527278e-07,3.21925209649304e-07,3.0811015418859e-07,2.79876541060787e-07,2.67423523636402e-07,2.73323779916378e-07,3.26000584457337e-07,3.46747447492113e-07,3.48017769566094e-07,3.46580596585005e-07,3.5190748475748e-07,3.39711387173408e-07,3.38141173124514e-07,3.27482648417942e-07,3.2041530854603e-07,3.07179722592388e-07,3.06414078866878e-07
32,"ARG","Argentina",5.8725172044944e-07,5.46796699929626e-07,5.19299722134706e-07,4.67765567648516e-07,4.53137443880882e-07,4.83105123891193e-07,4.62935955047221e-07,4.3846816900947e-07,4.20064137328268e-07,4.54869061439841e-07,4.5707984681872e-07,4.65084856920922e-07,5.11489172837374e-07,5.11834170283036e-07,5.05671473931639e-07,4.68795583394845e-07,4.54334984486292e-07,4.16422120942403e-07,4.11876924332754e-07,4.12084571937104e-07,3.74089444363052e-07,3.57188541739194e-07,3.67488556472513e-07,3.60555616119159e-07,3.72712535191663e-07,3.63962344431015e-07,3.75006911919757e-07,3.67668384920045e-07,3.73658455573003e-07,3.67962050872012e-07
51,"ARM","Armenia",4.06712096502627e-07,4.43393745061996e-07,8.98504425248481e-07,5.63400465000643e-07,5.42870132353718e-07,5.75174771465904e-07,4.66559310567446e-07,5.16292126248198e-07,4.87341604236704e-07,4.42568663445451e-07,4.54572238927172e-07,4.2076695311466e-07,3.53451217451413e-07,3.37252511761176e-07,3.27483263188913e-07,3.26015863604086e-07,3.03134962741534e-07,2.85887648613437e-07,2.85673199367642e-07,2.86963791714978e-07,2.77290140605929e-07,2.92654046412449e-07,3.08405114562014e-07,2.93884541431543e-07,2.85255488814453e-07,2.68230406629861e-07,2.8847243728647e-07,2.68925825792676e-07,2.89698509821105e-07,2.62264237943297e-07
533,"ABW","Aruba",2.2506911498057e-07,2.26993427847852e-07,2.17726196943396e-07,2.42280907509793e-07,2.29168468488201e-07,2.41775450828823e-07,2.47242853802468e-07,2.45678113897871e-07,2.57941660026911e-07,2.58997736546756e-07,6.57041649398455e-07,6.84038211006603e-07,7.15411291832866e-07,7.39142374008239e-07,6.99648939653191e-07,7.19450939593027e-07,7.02617066540504e-07,7.17454086685748e-07,6.75001148219158e-07,7.45512692530381e-07,7.34111179966326e-07,7.11239292299513e-07,3.93321809531558e-07,2.49705643496323e-07,2.51263691267962e-07,2.43415216545317e-07,2.33944244387107e-07,2.39966342159892e-07,NA,NA
36,"AUS","Australia",9.65487014423282e-07,9.66132421250735e-07,9.67824157180067e-07,9.45112069435188e-07,9.03581599067954e-07,8.74942325489905e-07,8.54498546841411e-07,8.30385427307919e-07,8.22389087302634e-07,8.39372320228877e-07,8.38466527529863e-07,8.46460009930524e-07,8.19454728182395e-07,6.89959968533622e-07,7.23917359121674e-07,6.62489361643906e-07,7.06252707585197e-07,6.79512647100694e-07,6.37135598969629e-07,6.42259598478246e-07,6.08771128763491e-07,6.94713955281419e-07,6.61492941968177e-07,5.52692657180507e-07,5.50981478025443e-07,5.39670844309262e-07,4.9998903222056e-07,5.20041987590015e-07,4.98861792612287e-07,4.66728522455031e-07
40,"AUT","Austria",2.99825233098657e-07,3.02207155411322e-07,2.76781488229467e-07,2.75893959645139e-07,2.72572697788164e-07,2.76452796346323e-07,2.84819222491731e-07,2.72882168810078e-07,2.5955381752083e-07,2.42682722127747e-07,2.34118291179369e-07,2.40925939605524e-07,2.4277417166145e-07,2.5882230047053e-07,2.48441266834996e-07,2.46141990651317e-07,2.36332928986924e-07,2.21912183243291e-07,2.19611390737315e-07,2.35659038938346e-07,2.59983526285776e-07,2.44502387900313e-07,2.26661253706987e-07,2.27189954195667e-07,2.20325304509023e-07,2.20784369728225e-07,2.21653701707865e-07,2.197594375581e-07,2.04042977217449e-07,2.07241343595402e-07
