"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92980.5969696971,97655.6927272728,95321.4484848486,88913.6903030304,76251.54,58741.3115151515,39717.8254545455,24467.5745454545,24111.6987878788
8,"ALB","Albania",0,4936.33147642975,10071.269849697,12561.3055393939,15308.7776969697,17095.8483636364,18847.5269090909,17909.5976363636,14674.6753939394,11754.4047272727,9988.25363636363,9015.2756969697,9285.70496969697,9099.75672727272,10822.6291515151,13946.8954545455,13290.0653333333,12727.1936969697,13813.7011515151,12428.3173939394,11621.5094545455
12,"DZA","Algeria",298054.506060606,283951.861212121,223284.270909091,181092.432121212,177789.411515152,148548.654545454,209770.981818182,250929.645454545,256104.461818182,301582.24969697,315970.54060606,338694.72969697,333311.911515151,353764.071515152,369575.044242424,398296.430909091,455543.665454545,494228.546060606,510879.218181818,539170.785454545,536861.001212121
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",242441.125044388,227774.3855368,201398.515748303,168240.36831897,142861.70465206,126553.045433333,122352.930058182,102532.705381818,91887.9218606061,95056.1499818182,99060.8243333334,117650.908181818,119682.932969697,123831.119818182,136544.059393939,177456.218787879,186742.84,181340.734545454,168824.347878788,138177.956363636,119326.255757576
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",678.445649515151,759.075456363636,798.213299393939,882.772076363636,965.499153333332,1014.52257151515,1027.41050121212,1031.79189575758,1063.21218666667,1074.67669333333,1116.70792909091,1059.82686666667,943.403474545454,898.608996969696,858.74706060606,812.830732727272,804.376215757575,800.14305090909,808.708580606061,847.596478181818,947.889312727272
32,"ARG","Argentina",455188.866666667,458445.63030303,432477.581818182,401643.187878788,427528.503030303,489708.357575758,530330.478787879,596126.090909091,630608.024242425,665790.066666667,628397.824242425,594538.515151515,537860.454545455,460266.818181818,409271.036363636,399024.2,386901.66060606,409013.303030303,432251.303030303,460405.975757576,410689.745454545
51,"ARM","Armenia",127.819554292024,2119.83111889806,3878.5314615978,7875.38393939394,8415.88018181818,9389.59854545454,13026.2943030303,14587.9925454545,17607.9176363636,20712.9555151515,18159.6413333333,16620.9186666667,16776.990969697,17507.7841818182,16348.1076969697,15170.2054545455,13922.162969697,14955.3733333333,15743.8513333333,20552.6412727273,20042.8342424243
533,"ABW","Aruba",2310.34506242424,6429.63381212121,8405.32797272728,9723.86525272728,10872.0609151515,11326.50288,11380.4962369697,10496.472129697,9293.242,6851.71675939393,3836.94722727273,3049.53784,2559.25894203857,1205.52714153168,0,0,0,0,0,NA,NA
36,"AUS","Australia",811605.296969697,940126.472727272,1051484.95151515,1116374.86060606,918711.012121211,924090.072727275,762060.83030303,777735.327272728,712257.606060606,605523.63030303,623854.787878787,606144.696969697,925175.206060606,1104004.89090909,823991.278787879,767325.551515151,626744.327272727,503998.872727273,525707.127272728,454700.145454545,351049.066666666
