"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189.78466765718,1235.81006329565,1200.27801321735,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.40022106979,2033.80438893717,2065.036235016,1978.96157872183
8,"ALB","Albania",4827.3184837549,3496.58024610027,3265.01742857305,3599.02705819637,3921.85120713086,4471.87106998714,4909.22810492362,4400.57782736551,4819.38753360482,5475.16913542595,5893.1362325633,6441.85345238674,6754.53600301333,7154.78482512179,7580.62909108667,8040.87871678111,8569.19111251045,9150.51874704367,9912.57724242975,10313.926441304,10749.4874481658,11052.7904635136,11227.9944871972,11361.2936763788,11586.8637666424,11878.4880933446,12291.8733773928,12770.975037081,13323.7533559132,13671.4884222978,13295.4108845409
12,"DZA","Algeria",8746.35188227881,8431.38854129605,8383.76900709814,8027.37610689755,7792.0843535331,7935.17901354381,8116.95994710479,8074.75968137776,8360.15144618748,8506.34567872555,8710.45514928456,8855.02018576846,9232.4275228466,9771.6848562146,10058.4390154947,10504.8584676293,10527.4220783457,10717.7844636359,10796.9025638468,10782.3610927014,10970.7063686682,11078.2423287826,11233.53132033,11319.0970588002,11512.7051094875,11696.9652290603,11826.1664161029,11737.4161588301,11642.1983450506,11510.5570882585,10681.6792969827
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",5783.42955231631,5649.78212964561,5148.25485731591,3788.5095556555,3717.36522903902,4139.64076955341,4551.6503810052,4728.1569239722,4792.68416271916,4740.66923573176,4727.96631394756,4766.83673589953,5240.83943293321,5218.20771212651,5593.24362419079,6210.22218782641,6681.10102767944,7341.86519904766,7864.37457862614,7643.49578596548,7692.4342862331,7675.44608452759,8036.69240208791,8140.52597328045,8239.83067207251,8036.4108982464,7568.99816818809,7310.89658895509,6933.49993413353,6670.33145836635,6198.08384070805
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",15458.4571892781,15588.0229589094,15500.4918378665,15991.9107140353,16698.1471572791,15628.0850109655,16303.1762779463,16828.0909380957,17260.3015741426,17551.4667690828,18313.3497055005,17207.6512135618,17143.3260283249,17952.7791441441,18743.286854691,19683.5410828179,21848.8881268377,23510.7076526761,23131.577653176,20047.716006336,18205.7385326292,17605.1701396078,17966.0643624765,17642.860867551,18104.4073367164,18594.2616238259,19419.5807988199,19840.2840357026,21030.3950717884,21548.7250080262,17956.315715683
32,"ARG","Argentina",14144.763670185,15221.7921466357,16209.3259772191,17312.0345746755,18092.0208138835,17362.5218025698,18104.6978094958,19347.5370400793,19866.2450529656,18981.1683827308,18625.2835537811,17610.7553863202,15523.0387763102,16714.6701331846,18032.6114274365,19426.4401434847,20777.6527103251,22424.1177287545,23103.4565215341,21519.8936160174,23521.2701750961,24647.6292739542,24118.8675158911,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451328,23597.117752839,22759.398558334,22063.9043717551,19686.523658911
51,"ARM","Armenia",5180.0612025078,4616.94485412874,2735.78653877911,2554.17216716616,2757.23180984117,3008.23332068624,3234.06962110572,3378.94443074421,3654.0529683487,3798.67375035141,4048.24990407115,4464.38583116476,5081.51855787396,5823.71609261801,6472.14199852835,7419.87119017403,8464.4857258378,9708.41539720345,10467.5298136022,9052.3835492225,9286.19732701297,9725.27822960818,10397.654656654,10691.2767474723,11019.838784895,11321.3325403745,11303.0678498177,12115.1392902637,12715.1089539751,13653.7633812861,12592.6353675009
533,"ABW","Aruba",37035.0331833196,38455.2077682848,38559.0959666382,38948.3139816001,39830.5192426648,39004.7846056033,38097.983475917,39714.0933835563,39655.920022559,39367.0238450198,41499.6385368811,39388.3526308389,37256.6597201842,37200.0588504797,39440.6678569855,39407.190967988,39504.4687300445,40058.3133138128,39968.2786852009,35731.9896000615,34343.1513198842,35392.6051857771,34732.495846338,35980.1645924769,35875.6298298588,37715.9266182632,38314.806031888,38897.122666275,NA,NA,NA
