"code","iso","country","MSW.raw.2019"
4,"AFG","Afghanistan",0.9894
8,"ALB","Albania",0.995
12,"DZA","Algeria",0.468
20,"AND","Andorra",0.6895
24,"AGO","Angola",1
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",0.2484
32,"ARG","Argentina",0.2884
51,"ARM","Armenia",0.505
533,"ABW","Aruba",0.89
36,"AUS","Australia",0.0502
40,"AUT","Austria",0.0191
31,"AZE","Azerbaijan",0.61
44,"BHS","Bahamas",0.6347
48,"BHR","Bahrain",0.097
50,"BGD","Bangladesh",0.9425
52,"BRB","Barbados",0.185
112,"BLR","Belarus",0.3585
56,"BEL","Belgium",0.0172
84,"BLZ","Belize",0.825
204,"BEN","Benin",0.87
60,"BMU","Bermuda",0.0234
64,"BTN","Bhutan",0.3568
68,"BOL","Bolivia",0.4221
70,"BIH","Bosnia and Herzegovina",0.6552
72,"BWA","Botswana",0.695
76,"BRA","Brazil",0.2687
92,"VGB","British Virgin Islands",0.197
96,"BRN","Brunei Darussalam",0.145
100,"BGR","Bulgaria",0.1601
854,"BFA","Burkina Faso",0.864
108,"BDI","Burundi",0.995
132,"CPV","Cabo Verde",0.9144
116,"KHM","Cambodia",0.9615
120,"CMR","Cameroon",0.8765
124,"CAN","Canada",0.0773
136,"CYM","Cayman Islands",0.79
140,"CAF","Central African Republic",0.995
148,"TCD","Chad",0.9796
152,"CHL","Chile",0.2433
156,"CHN","China",0.5501
170,"COL","Colombia",0.109
174,"COM","Comoros",0.9961
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",0.2252
384,"CIV","Cote d'Ivoire",0.9489
191,"HRV","Croatia",0.227
192,"CUB","Cuba",0.6597
531,"CUW","Curacao",0.98
196,"CYP","Cyprus",0.1764
203,"CZE","Czech Republic",0.0626
180,"COD","Dem. Rep. Congo",0.9705
208,"DNK","Denmark",0.0062
262,"DJI","Djibouti",0.9673
212,"DMA","Dominica",0.4642
214,"DOM","Dominican Republic",0.789
218,"ECU","Ecuador",0.5074
818,"EGY","Egypt",0.758
222,"SLV","El Salvador",0.2145
226,"GNQ","Equatorial Guinea",0.505
232,"ERI","Eritrea",0.9993
233,"EST","Estonia",0.0969
748,"SWZ","Eswatini",0.8671
231,"ETH","Ethiopia",0.99
234,"FRO","Faeroe Islands",0.33
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",0.6384
246,"FIN","Finland",0.0166
250,"FRA","France",0.0309
258,"PYF","French Polynesia",0.61
266,"GAB","Gabon",0.7187
270,"GMB","Gambia",0.994
268,"GEO","Georgia",0.505
276,"DEU","Germany",0.0153
