"code","iso","country","REC.raw.1990","REC.raw.1995","REC.raw.2000","REC.raw.2005","REC.raw.2010","REC.raw.2015","REC.raw.2020"
4,"AFG","Afghanistan","0.9266","0.9382","0.9415","0.9223","0.9023","0.8934","0.8889"
8,"ALB","Albania","0.8469","0.8505","0.8363","0.8214","0.8092","0.8010","0.7952"
12,"DZA","Algeria","0.8998","0.9020","0.9003","0.8966","0.8954","0.8927","0.8896"
20,"AND","Andorra","0.8609","0.8651","0.8589","0.8536","0.8510","0.8484","0.8488"
24,"AGO","Angola","0.8557","0.8703","0.8621","0.8447","0.8228","0.8161","0.8101"
660,"AIA","Anguilla","0.7840","0.7840","0.7840","0.7840","0.7840","0.7646","0.7646"
28,"ATG","Antigua and Barbuda","0.8488","0.8486","0.8480","0.8475","0.8475","0.8468","0.8469"
32,"ARG","Argentina","0.9178","0.9139","0.9128","0.9118","0.9081","0.9065","0.9041"
51,"ARM","Armenia","0.9119","0.9343","0.9216","0.8947","0.8848","0.8748","0.8650"
533,"ABW","Aruba","0.7485","0.7468","0.7449","0.7460","0.7516","0.7453","0.7505"
36,"AUS","Australia","0.4937","0.4899","0.4839","0.4797","0.4771","0.4737","0.4713"
40,"AUT","Austria","0.6459","0.6448","0.6428","0.6421","0.6415","0.6406","0.6400"
31,"AZE","Azerbaijan","0.9022","0.9382","0.9279","0.9051","0.8693","0.8589","0.8561"
44,"BHS","Bahamas","0.7589","0.7618","0.7565","0.7550","0.7555","0.7537","0.7515"
48,"BHR","Bahrain","0.8676","0.8658","0.8643","0.8614","0.8620","0.8596","0.8593"
50,"BGD","Bangladesh","0.9037","0.8991","0.8922","0.8831","0.8722","0.8595","0.8428"
52,"BRB","Barbados","0.8976","0.8984","0.8968","0.8963","0.8964","0.8950","0.8945"
112,"BLR","Belarus","0.8332","0.8438","0.8345","0.8251","0.8173","0.8131","0.8095"
56,"BEL","Belgium","0.6845","0.6841","0.6833","0.6831","0.6830","0.6827","0.6826"
84,"BLZ","Belize","0.9127","0.9058","0.9017","0.8963","0.8982","0.8973","0.8957"
204,"BEN","Benin","0.4764","0.4724","0.4634","0.4601","0.4541","0.4425","0.4313"
60,"BMU","Bermuda","0.8539","0.8539","0.8541","0.8544","0.8547","0.8553","0.8552"
64,"BTN","Bhutan","0.9882","0.9873","0.9866","0.9859","0.9849","0.9843","0.9829"
68,"BOL","Bolivia","0.7159","0.7081","0.7031","0.6968","0.6864","0.6751","0.6557"
70,"BIH","Bosnia and Herzegovina","0.8713","0.8632","0.8031","0.7982","0.7848","0.7725","0.7620"
72,"BWA","Botswana","0.8266","0.8256","0.8121","0.8055","0.8025","0.7949","0.7895"
76,"BRA","Brazil","0.9749","0.9745","0.9743","0.9740","0.9732","0.9724","0.9718"
92,"VGB","British Virgin Islands","0.9119","0.8831","0.8787","0.8783","0.8773","0.8749","0.8751"
96,"BRN","Brunei Darussalam","0.7982","0.7988","0.7999","0.8001","0.8027","0.8046","0.8003"
100,"BGR","Bulgaria","0.7364","0.7433","0.7426","0.7272","0.7199","0.7112","0.7024"
854,"BFA","Burkina Faso","0.8402","0.8370","0.8223","0.8113","0.8050","0.7902","0.7701"
108,"BDI","Burundi","0.9365","0.9435","0.9447","0.9461","0.9443","0.9402","0.9286"
132,"CPV","Cabo Verde","0.8874","0.8803","0.8673","0.8587","0.8455","0.8356","0.8256"
116,"KHM","Cambodia","0.9426","0.9388","0.9302","0.9152","0.9057","0.8933","0.8764"
120,"CMR","Cameroon","0.9581","0.9620","0.9603","0.9594","0.9592","0.9578","0.9541"
124,"CAN","Canada","0.7772","0.7766","0.7732","0.7715","0.7714","0.7701","0.7687"
136,"CYM","Cayman Islands","0.8704","0.8465","0.8364","0.8437","0.8434","0.8318","0.8327"
140,"CAF","Central African Republic","0.9168","0.9209","0.9217","0.9271","0.9235","0.9174","0.9093"
148,"TCD","Chad","0.9148","0.9147","0.9163","0.8915","0.8948","0.8916","0.8890"
152,"CHL","Chile","0.9919","0.9914","0.9912","0.9910","0.9909","0.9906","0.9904"
156,"CHN","China","0.8167","0.7986","0.7883","0.7767","0.7668","0.7604","0.7558"
170,"COL","Colombia","0.7536","0.7466","0.7460","0.7394","0.7314","0.7232","0.7152"
174,"COM","Comoros","0.8989","0.9023","0.9058","0.9051","0.9070","0.9036","0.8989"
184,"COK","Cook Islands","0.7969","0.7969","0.7969","0.7969","0.7969","0.7752","0.7752"
188,"CRI","Costa Rica","0.9488","0.9483","0.9479","0.9475","0.9471","0.9466","0.9460"
384,"CIV","Cote d'Ivoire","0.8804","0.8848","0.8835","0.8894","0.8899","0.8853","0.8673"
191,"HRV","Croatia","0.8107","0.8174","0.8120","0.8066","0.8053","0.8022","0.7999"
192,"CUB","Cuba","0.7679","0.7938","0.7820","0.7713","0.7538","0.7458","0.7433"
531,"CUW","Curacao","0.7753","0.7760","0.7761","0.7781","0.7759","0.7783","0.7758"
196,"CYP","Cyprus","0.8290","0.8274","0.8257","0.8247","0.8243","0.8235","0.8239"
203,"CZE","Czech Republic","0.6602","0.6628","0.6577","0.6472","0.6412","0.6338","0.6270"
180,"COD","Dem. Rep. Congo","0.9267","0.9448","0.9590","0.9546","0.9520","0.9470","0.9364"
208,"DNK","Denmark","0.6614","0.6573","0.6526","0.6508","0.6511","0.6479","0.6462"
262,"DJI","Djibouti","0.8518","0.8684","0.8778","0.8740","0.8701","0.8616","0.8510"
212,"DMA","Dominica","0.8783","0.8776","0.8763","0.8764","0.8748","0.8734","0.8736"
214,"DOM","Dominican Republic","0.9299","0.9234","0.9133","0.9096","0.8992","0.8908","0.8843"
218,"ECU","Ecuador","0.7438","0.7410","0.7433","0.7328","0.7279","0.7265","0.7195"
818,"EGY","Egypt","0.8247","0.8146","0.8000","0.7913","0.7724","0.7538","0.7345"
222,"SLV","El Salvador","0.8622","0.8567","0.8546","0.8528","0.8516","0.8490","0.8475"
226,"GNQ","Equatorial Guinea","0.9045","0.8951","0.8140","0.7692","0.7616","0.7630","0.7611"
232,"ERI","Eritrea","0.9358","0.9167","0.9181","0.9221","0.9299","0.9299","0.9321"
233,"EST","Estonia","0.6202","0.6271","0.6177","0.6111","0.6110","0.6096","0.6089"
748,"SWZ","Eswatini","0.8451","0.8441","0.8400","0.8362","0.8322","0.8269","0.8270"
231,"ETH","Ethiopia","0.9153","0.9191","0.9148","0.9089","0.8941","0.8826","0.8715"
234,"FRO","Faeroe Islands","0.7454","0.7466","0.7459","0.7455","0.7456","0.7458","0.7444"
238,"FLK","Falkland Islands","0.7307","0.7307","0.7307","0.7307","0.7307","0.7260","0.7260"
242,"FJI","Fiji","0.8521","0.8493","0.8473","0.8445","0.8458","0.8417","0.8394"
246,"FIN","Finland","0.6536","0.6551","0.6502","0.6481","0.6477","0.6466","0.6456"
250,"FRA","France","0.6909","0.6900","0.6873","0.6862","0.6861","0.6845","0.6836"
