Country,Economy Group
Austria,Euro Area
Belgium,Euro Area
Croatia,Euro Area
Cyprus,Euro Area
Estonia,Euro Area
Finland,Euro Area
France,Euro Area
Germany,Euro Area
Greece,Euro Area
Ireland,Euro Area
Italy,Euro Area
Latvia,Euro Area
Lithuania,Euro Area
Luxembourg,Euro Area
Malta,Euro Area
Netherlands,Euro Area
Portugal,Euro Area
Slovak Republic,Euro Area
Slovenia,Euro Area
Spain,Euro Area
Canada,G7
France,G7
Germany,G7
Italy,G7
Japan,G7
United Kingdom,G7
United States,G7
Andorra,Other Advanced Economies
Australia,Other Advanced Economies
Czech Republic,Other Advanced Economies
Denmark,Other Advanced Economies
Hong Kong SAR,Other Advanced Economies
Iceland,Other Advanced Economies
Israel,Other Advanced Economies
Korea,Other Advanced Economies
Macao SAR,Other Advanced Economies
New Zealand,Other Advanced Economies
Norway,Other Advanced Economies
Puerto Rico,Other Advanced Economies
San Marino,Other Advanced Economies
Singapore,Other Advanced Economies
Sweden,Other Advanced Economies
Switzerland,Other Advanced Economies
Taiwan Province of China,Other Advanced Economies
Bangladesh,Emerging and Developing Asia
Bhutan,Emerging and Developing Asia
Brunei Darussalam,Emerging and Developing Asia
Cambodia,Emerging and Developing Asia
China,Emerging and Developing Asia
Fiji,Emerging and Developing Asia
India,Emerging and Developing Asia
Indonesia,Emerging and Developing Asia
Kiribati,Emerging and Developing Asia
Lao P.D.R.,Emerging and Developing Asia
Malaysia,Emerging and Developing Asia
Maldives,Emerging and Developing Asia
Marshall Islands,Emerging and Developing Asia
Micronesia,Emerging and Developing Asia
Mongolia,Emerging and Developing Asia
Myanmar,Emerging and Developing Asia
Nauru,Emerging and Developing Asia
Nepal,Emerging and Developing Asia
Palau,Emerging and Developing Asia
Papua New Guinea,Emerging and Developing Asia
Philippines,Emerging and Developing Asia
Samoa,Emerging and Developing Asia
Solomon Islands,Emerging and Developing Asia
Sri Lanka,Emerging and Developing Asia
Thailand,Emerging and Developing Asia
Timor-Leste,Emerging and Developing Asia
Tonga,Emerging and Developing Asia
Tuvalu,Emerging and Developing Asia
Vanuatu,Emerging and Developing Asia
Vietnam,Emerging and Developing Asia
Albania,Emerging and Developing Europe
Belarus,Emerging and Developing Europe
Bosnia and Herzegovina,Emerging and Developing Europe
Bulgaria,Emerging and Developing Europe
Hungary,Emerging and Developing Europe
Kosovo,Emerging and Developing Europe
Moldova,Emerging and Developing Europe
Montenegro,Emerging and Developing Europe
North Macedonia,Emerging and Developing Europe
Poland,Emerging and Developing Europe
Romania,Emerging and Developing Europe
Russia,Emerging and Developing Europe
Serbia,Emerging and Developing Europe
Türkiye,Emerging and Developing Europe
Ukraine,Emerging and Developing Europe
Antigua and Barbuda,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Aruba,Latin America and the Caribbean
The Bahamas,Latin America and the Caribbean
Barbados,Latin America and the Caribbean
Belize,Latin America and the Caribbean
Bolivia,Latin America and the Caribbean
Brazil,Latin America and the Caribbean
Chile,Latin America and the Caribbean
Colombia,Latin America and the Caribbean
Costa Rica,Latin America and the Caribbean
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
El Salvador,Latin America and the Caribbean
Grenada,Latin America and the Caribbean
Guatemala,Latin America and the Caribbean
Guyana,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Mexico,Latin America and the Caribbean
Nicaragua,Latin America and the Caribbean
Panama,Latin America and the Caribbean
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
St. Kitts and Nevis,Latin America and the Caribbean
St. Lucia,Latin America and the Caribbean
St. Vincent and the Grenadines,Latin America and the Caribbean
Suriname,Latin America and the Caribbean
Trinidad and Tobago,Latin America and the Caribbean
Uruguay,Latin America and the Caribbean
Venezuela,Latin America and the Caribbean
Afghanistan,Middle East and Central Asia
Algeria,Middle East and Central Asia
Armenia,Middle East and Central Asia
Azerbaijan,Middle East and Central Asia
Bahrain,Middle East and Central Asia
Djibouti,Middle East and Central Asia
Egypt,Middle East and Central Asia
Georgia,Middle East and Central Asia
Iran,Middle East and Central Asia
Iraq,Middle East and Central Asia
Jordan,Middle East and Central Asia
Kazakhstan,Middle East and Central Asia
Kuwait,Middle East and Central Asia
Kyrgyz Republic,Middle East and Central Asia
Lebanon,Middle East and Central Asia
Libya,Middle East and Central Asia
Mauritania,Middle East and Central Asia
Morocco,Middle East and Central Asia
Oman,Middle East and Central Asia
Pakistan,Middle East and Central Asia
Qatar,Middle East and Central Asia
Saudi Arabia,Middle East and Central Asia
Somalia,Middle East and Central Asia
Sudan,Middle East and Central Asia
Syria,Middle East and Central Asia
Tajikistan,Middle East and Central Asia
Tunisia,Middle East and Central Asia
Turkmenistan,Middle East and Central Asia
United Arab Emirates,Middle East and Central Asia
Uzbekistan,Middle East and Central Asia
West Bank and Gaza,Middle East and Central Asia
Yemen,Middle East and Central Asia
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Republic of Congo,Sub-Saharan Africa
Côte d'Ivoire,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
The Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
GuineaBissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
São Tomé and Príncipe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
