country_group,iso,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After,,
ME-CA,AFG,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,442.77","1,506.22","1,459.35","1,576.70","1,611.29","1,758.62","1,781.23","2,093.42","2,207.11","2,278.49","2,513.14","2,569.34","2,555.97","2,506.35","2,492.65","2,515.55","2,392.42","2,439.68","2,328.76",n/a,n/a,n/a,2019,,#N/A
ME-CA,LBN,Lebanon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,708.07","18,771.96","11,812.03","14,406.49","20,688.28","25,580.37","23,768.16","27,670.67","19,741.33","11,236.64","9,462.70","12,546.29","12,452.05","12,625.91","13,009.61","13,363.40","13,586.20","14,775.18","15,205.57","14,865.59","14,657.52","14,663.55","14,468.92","14,023.56","14,478.17","14,178.06","14,213.18","15,511.98","16,927.76","18,472.95","19,382.06","18,614.65","17,934.94","17,439.25","16,879.15","16,251.85","16,058.26","15,953.63","15,561.54","14,493.27","10,786.07",n/a,n/a,n/a,2019,,
euro-area,IRL,Ireland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","20,601.84","20,859.35","20,948.45","20,653.20","21,164.03","21,509.15","21,596.66","22,345.72","23,118.65","24,564.07","26,486.02","26,768.84","27,502.38","27,984.49","29,536.32","32,231.35","34,921.27","38,271.18","41,190.03","45,017.73","48,543.69","50,329.21","52,387.01","53,093.02","55,611.73","57,401.89","58,578.28","59,967.35","56,378.00","53,138.08","53,784.48","54,035.63","53,795.28","54,099.00","58,313.44","71,809.37","72,369.63","78,003.14","83,611.69","87,028.32","91,611.57","103,118.32","113,308.75","118,442.66",2022,,
euro-area,LUX,Luxembourg,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","44,433.97","44,653.68","45,080.82","45,931.28","48,064.18","50,656.94","55,456.92","57,274.82","61,590.62","66,962.61","69,730.89","74,741.20","75,073.23","77,126.26","78,923.21","79,678.69","79,726.60","83,386.39","87,706.16","93,912.28","100,383.79","102,197.26","104,305.48","106,010.92","108,868.70","110,071.18","114,728.86","122,171.36","119,888.47","113,725.27","115,980.61","114,970.48","113,950.47","114,915.55","115,205.27","115,035.26","117,995.20","116,621.22","115,819.69","116,212.06","113,036.37","117,190.25","117,038.20","116,235.16",2020,,
other-advanced,SGP,Singapore,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","22,380.18","23,636.66","24,228.41","25,961.65","27,715.41","27,505.21","27,900.91","30,452.22","33,033.20","35,336.22","37,326.30","38,705.65","40,054.05","43,528.86","46,865.42","48,725.30","50,280.12","52,663.36","49,789.00","52,217.16","55,959.03","53,886.50","55,491.90","58,877.61","63,924.72","67,039.20","70,825.80","74,064.65","71,534.98","69,498.54","78,191.78","81,337.74","82,886.78","85,484.44","87,702.52","89,248.13","91,270.64","95,334.15","98,280.04","98,455.33","94,910.10","107,741.12","108,036.11","109,223.41",2022,,
ME-CA,QAT,Qatar,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","140,771.71","124,882.64","106,442.19","94,051.68","102,271.03","84,207.49","83,146.68","80,493.85","80,993.54","82,087.96","59,959.40","57,997.53","63,457.69","62,586.90","63,393.58","62,854.34","64,065.25","79,210.40","84,019.08","83,864.32","86,435.58","87,650.41","91,006.82","90,264.58","98,632.64","93,270.34","101,382.65","100,604.63","87,676.76","93,993.73","105,739.00","116,493.40","115,334.95","111,365.60","106,059.29","101,000.91","96,943.81","91,742.86","91,679.05","91,022.87","91,541.24","95,338.56","97,433.55","101,832.05",2021,,
other-advanced,MAC,Macao,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"51,474.93","55,525.34","61,132.69","74,743.43","77,170.04","82,534.96","90,150.80","91,324.49","93,699.93","115,074.31","138,693.78","145,082.04","153,937.50","143,982.44","111,153.50","110,723.95","120,248.88","125,279.78","119,939.80","54,608.53","65,120.40","46,757.90","73,056.34",2021,,
ME-CA,ARE,United Arab Emirates,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","169,449.36","168,069.73","146,655.43","134,363.03","129,629.67","119,951.14","92,803.41","93,816.56","76,554.87","85,264.69","106,269.09","103,842.42","102,611.35","99,036.23","99,318.83","97,907.10","101,784.62","104,623.19","95,999.64","93,065.75","105,865.84","101,402.02","98,267.97","100,845.88","104,333.75","100,207.97","90,166.98","75,020.88","59,645.26","55,655.52","56,104.61","59,063.12","60,923.35","63,006.35","64,605.40","67,908.51","70,253.34","69,377.00","69,819.14","69,576.04","67,703.85","68,327.82","70,909.85","71,965.69",2021,,
other-advanced,CHE,Switzerland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","48,361.94","48,910.33","47,967.08","47,978.57","49,311.77","50,920.84","51,624.00","52,114.81","53,465.04","55,387.09","56,978.61","55,755.86","54,975.34","54,379.42","54,604.81","54,516.72","54,439.61","55,505.53","57,015.16","57,726.41","59,742.00","60,433.11","59,911.46","59,389.25","60,494.25","61,774.29","63,959.36","66,030.75","67,062.79","64,590.40","65,947.69","66,472.84","66,556.74","67,071.34","67,772.55","68,031.07","68,699.09","68,910.10","70,350.91","70,659.71","68,400.17","70,761.32","71,700.80","71,754.94",2022,,
other-advanced,NOR,Norway,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","33,460.01","33,879.52","33,828.57","35,059.75","37,083.46","39,026.84","40,458.35","40,977.16","40,631.87","40,897.76","41,548.65","42,611.44","43,886.63","44,858.87","46,861.95","48,559.93","50,750.31","53,157.82","54,312.15","55,075.16","56,499.06","57,389.61","57,870.54","58,071.33","60,071.68","61,272.97","62,276.62","63,487.74","62,963.70","60,995.71","60,695.52","60,572.33","61,408.87","61,284.99","61,813.62","62,323.80","62,481.59","63,513.25","63,614.01","63,930.19","62,724.92","64,843.85","66,405.27","67,424.80",2022,,
