"code","iso","country","APR.raw.2015","APR.raw.2020"
4,"AFG","Afghanistan",12.45321776,13.13483026
8,"ALB","Albania",8.930759232,9.532293596
12,"DZA","Algeria",1.208934518,1.27322021
20,"AND","Andorra",4.013277311,3.480068037
24,"AGO","Angola",0.078237554,0.083847284
660,"AIA","Anguilla",-9999,-9999
28,"ATG","Antigua and Barbuda",-9999,-9999
32,"ARG","Argentina",9.32918369,9.820393656
51,"ARM","Armenia",2.80932251,2.921772914
533,"ABW","Aruba",-9999,-9999
36,"AUS","Australia",2.684423042,2.879592005
40,"AUT","Austria",6.386685121,7.046839319
31,"AZE","Azerbaijan",1.727202069,1.8259056
44,"BHS","Bahamas",-9999,-9999
48,"BHR","Bahrain",-9999,-9999
50,"BGD","Bangladesh",4.641613811,5.136498522
52,"BRB","Barbados",-9999,-9999
112,"BLR","Belarus",2.056787395,2.222451302
56,"BEL","Belgium",28.71159503,33.19313336
84,"BLZ","Belize",19.7,21.70997928
204,"BEN","Benin",6.518292966,6.782331275
60,"BMU","Bermuda",-9999,-9999
64,"BTN","Bhutan",0.251206872,0.260481443
68,"BOL","Bolivia",8.693383462,9.746430109
70,"BIH","Bosnia and Herzegovina",11.79536556,10.6086399
72,"BWA","Botswana",0.01565275,0.01752933
76,"BRA","Brazil",17.68178447,19.84187991
92,"VGB","British Virgin Islands",-9999,-9999
96,"BRN","Brunei Darussalam",4.141242649,4.425716628
100,"BGR","Bulgaria",2.507207487,2.72467671
854,"BFA","Burkina Faso",0.724425758,0.806700268
108,"BDI","Burundi",0.051997419,0.056898639
132,"CPV","Cabo Verde",-9999,-9999
116,"KHM","Cambodia",13.27742381,14.79128327
120,"CMR","Cameroon",1.043260281,1.142703723
124,"CAN","Canada",4.70113455,4.8705361
136,"CYM","Cayman Islands",-9999,-9999
140,"CAF","Central African Republic",0.05456064,0.060326302
148,"TCD","Chad",0.026165787,0.029771357
152,"CHL","Chile",6.276364837,6.789536355
156,"CHN","China",20.07934341,21.06152607
170,"COL","Colombia",17.88942435,20.44206443
174,"COM","Comoros",-9999,-9999
184,"COK","Cook Islands",-9999,-9999
188,"CRI","Costa Rica",35.45147415,39.4856808
384,"CIV","Cote d'Ivoire",0.067715596,0.073901468
191,"HRV","Croatia",3.753926262,4.463116241
192,"CUB","Cuba",16.5,18.0110609
531,"CUW","Curacao",-9999,-9999
196,"CYP","Cyprus",47.94167399,56.38384561
203,"CZE","Czech Republic",10.46710827,11.16578867
180,"COD","Dem. Rep. Congo",16.56143324,17.65000683
208,"DNK","Denmark",6.559982815,5.250690845
