code,iso,country,CXN.raw.1970,CXN.raw.1975,CXN.raw.1980,CXN.raw.1985,CXN.raw.1989,CXN.raw.1990,CXN.raw.1991,CXN.raw.1992,CXN.raw.1993,CXN.raw.1994,CXN.raw.1995,CXN.raw.1996,CXN.raw.1997,CXN.raw.1998,CXN.raw.1999,CXN.raw.2000,CXN.raw.2001,CXN.raw.2002,CXN.raw.2003,CXN.raw.2004,CXN.raw.2005,CXN.raw.2006,CXN.raw.2007,CXN.raw.2008,CXN.raw.2009,CXN.raw.2010,CXN.raw.2011,CXN.raw.2012,CXN.raw.2013,CXN.raw.2014,CXN.raw.2015,CXN.raw.2016,CXN.raw.2017,CXN.raw.2018,CXN.raw.2019
4,AFG,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA
8,ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.008,0.056,0.073,0.073,NA,NA,0.22,NA,0.21,0.19,0.16,0.17,NA,NA
12,DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.32,0.32,0.39,0.39,0.45,0.48,0.53,0.56,0.6,0.61,0.65,0.65,0.65,0.65,0.68,0.72,NA,NA
20,AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,0.036,0.035,0.171,0.196,0.311,0.477,0.864,0.98,0.98,0.98,0.98,1,1,1,1,1,NA,NA,NA,NA
24,AGO,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178,NA,NA,NA,NA,NA,NA,NA,NA
660,AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,ARG,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,ARM,Armenia,NA,NA,NA,NA,NA,0.639,NA,NA,NA,NA,0.33,0.33,0.332,0.332,0.334,0.334,0.333,0.315,0.323,0.332,0.352,0.359,0.365,0.365,0.38,0.382,0.386,0.378,0.371,0.371,0.38,0.381,0.383,NA,NA
533,ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AUS,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928,0.938,0.941,0.941,0.926,0.924,0.925,0.927,0.926,0.929
40,AUT,Austria,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.98,NA,NA,0.99,NA,1,1,1,1,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA
31,AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,0.135,0.136,0.136,0.139,0.138,0.141,0.141,0.141,0.144,0.184,0.185,0.189,0.191,0.195,NA,NA
44,BHS,Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,BHR,Bahrain,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,0.64,0.65,0.66,0.69,0.71,0.74,0.75,0.77,0.79,0.71,0.7,0.67,0.66,0.65,0.77,0.81,0.88,0.87,0.87,0.9,0.88,0.85,0.88,NA,NA
50,BGD,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,NA,NA
52,BRB,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718,NA,NA,NA,NA,NA,NA,NA,NA
56,BEL,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.49,0.53,0.55,0.56,0.65,0.69,0.69,0.72,0.73,0.74,0.88,0.97,0.96,0.97,0.96,0.97,0.92,0.93,0.94,0.95,0.95,0.96,NA,NA
84,BLZ,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,BEN,Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,BMU,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
68,BOL,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319,NA,NA,NA,NA,NA,NA,NA,NA
70,BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.4,0.4,0.38,0.38,0.38,0.38,0.38,0.34,0.34,0.32,0.32,0.3,0.3,0.3,0.3,0.37,0.37,NA,NA
72,BWA,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA
76,BRA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA
92,VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,BRN,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
