"code","iso","country","EEZ.raw.1990","EEZ.raw.1991","EEZ.raw.1992","EEZ.raw.1993","EEZ.raw.1994","EEZ.raw.1995","EEZ.raw.1996","EEZ.raw.1997","EEZ.raw.1998","EEZ.raw.1999","EEZ.raw.2000","EEZ.raw.2001","EEZ.raw.2002","EEZ.raw.2003","EEZ.raw.2004","EEZ.raw.2005","EEZ.raw.2006","EEZ.raw.2007","EEZ.raw.2008","EEZ.raw.2009","EEZ.raw.2010","EEZ.raw.2011","EEZ.raw.2012","EEZ.raw.2013","EEZ.raw.2014","EEZ.raw.2015","EEZ.raw.2016","EEZ.raw.2017","EEZ.raw.2018","EEZ.raw.2019","EEZ.raw.2020","EEZ.raw.2021","EEZ.raw.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845426,12177.2156845363,12177.2156845363,12177.2156845363,12177.2156845374,12177.2156845374,12177.2156845374,12177.2156845374,12177.2156845577,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581,12177.2156845581
12,"DZA","Algeria",131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022934,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926,131425.409022926
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225,498906.881945225
660,"AIA","Anguilla",90625.4314912754,90625.4314912754,90625.4314912754,90625.4314912754,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314912534,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041,90625.4314913041
28,"ATG","Antigua and Barbuda",112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926427,112162.305926415,112162.305926415,112162.305926415,112162.305926415,112162.305926415,112162.305926415,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926524,112162.305926373,112162.305926373,112162.305926373,112162.305926373,112162.305926373,112162.305926373,112162.305926373,112162.305926373
32,"ARG","Argentina",2897653.80351984,2897653.80351985,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351986,2897653.80351982,2897653.80351985,2897653.80351977,2897653.80351977,2897653.80351982,2897653.80351991,2897653.80351991,2897653.80351992,2897653.80351992,2897653.80351991,2897653.80351991,2897653.80351991,2897653.80351991,2897653.80351992,2897653.80351991,2897653.80351992,2897653.8035196,2897653.80351961,2897653.80351961,2897653.8035196,2897653.8035196,2897653.8035196,2897653.80351764,2897653.80351763,2897653.80351763,2897653.80351763
51,"ARM","Armenia",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563,31288.2741422563
36,"AUS","Australia",9025415.79580972,9025415.79580973,9025415.79580979,9025415.79580973,9025415.79580974,9025415.79580974,9025415.79580984,9025415.79580905,9025415.79580905,9025415.79580945,9025415.79580921,9025415.79580916,9025415.79580716,9025415.79581169,9025415.7958116,9025415.79581191,9025415.79580973,9025415.79580998,9025415.79580997,9025415.79581055,9025415.7958111,9025415.79581164,9025415.79581176,9025415.79581084,9025415.79581055,9025415.79581046,9025415.79581066,9025415.795811,9025415.79581135,9025415.79581092,9025415.79581093,9025415.79581099,9025415.79581099
40,"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"AZE","Azerbaijan",NA,NA,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351742,80681.4473351793,80681.4473351793,80681.4473351793,80681.4473351793,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257,80681.4473351257
