"code","iso","country","FTD.raw.1950","FTD.raw.1951","FTD.raw.1952","FTD.raw.1953","FTD.raw.1954","FTD.raw.1955","FTD.raw.1956","FTD.raw.1957","FTD.raw.1958","FTD.raw.1959","FTD.raw.1960","FTD.raw.1961","FTD.raw.1962","FTD.raw.1963","FTD.raw.1964","FTD.raw.1965","FTD.raw.1966","FTD.raw.1967","FTD.raw.1968","FTD.raw.1969","FTD.raw.1970","FTD.raw.1971","FTD.raw.1972","FTD.raw.1973","FTD.raw.1974","FTD.raw.1975","FTD.raw.1976","FTD.raw.1977","FTD.raw.1978","FTD.raw.1979","FTD.raw.1980","FTD.raw.1981","FTD.raw.1982","FTD.raw.1983","FTD.raw.1984","FTD.raw.1985","FTD.raw.1986","FTD.raw.1987","FTD.raw.1988","FTD.raw.1989","FTD.raw.1990","FTD.raw.1991","FTD.raw.1992","FTD.raw.1993","FTD.raw.1994","FTD.raw.1995","FTD.raw.1996","FTD.raw.1997","FTD.raw.1998","FTD.raw.1999","FTD.raw.2000","FTD.raw.2001","FTD.raw.2002","FTD.raw.2003","FTD.raw.2004","FTD.raw.2005","FTD.raw.2006","FTD.raw.2007","FTD.raw.2008","FTD.raw.2009","FTD.raw.2010","FTD.raw.2011","FTD.raw.2012","FTD.raw.2013","FTD.raw.2014","FTD.raw.2015","FTD.raw.2016","FTD.raw.2017","FTD.raw.2018"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",0.768800249998249,0.768800249969921,0.768800249881419,0.768800249970625,0.768800249953224,0.768800249970625,0.768800249970625,0.768800249902664,0.768800249970625,0.768800249902664,0.768800249970625,0.768800249973206,0.768800249902664,0.768800249989246,0.768800249989246,0.768800250032033,0.768800250032033,0.80083355764122,0.800833557661723,0.800833557629938,0.800833557646789,0.800833557646789,0.800833557646789,0.800833557646789,0.80083355766095,0.80083355766095,0.800833557643577,0.800833557670281,0.800833557624346,0.800833557643036,0.800833557650659,0.800833557651785,0.79773113698783,0.79892486311568,0.79889344611156,0.798537309815122,0.798996712949168,0.808311268248789,0.806323151075948,0.802953076151996,0.796828384230009,0.799511489750183,0.790351243785981,0.794700472565781,0.797083646518672,0.769754215480287,0.774976652436515,0.760219784692912,0.789223322197644,0.789345089941143,0.797086234729271,0.761621630272839,0.783035911689358,0.783179485922896,0.786858193112427,0.793574683142197,0.793775364093743,0.797923568292344,0.797819305419647,0.789516893708169,0.796531193479377,0.797089183561193,0.797610072186176,0.797613475434699,0.735154723525519,0.804166989114385,0.758581589858535,0.744352487469859,0.843469222460271
12,"DZA","Algeria",0.295584157099015,0.280288751438607,0.299501074330026,0.284014621470461,0.280806883430771,0.305653509760849,0.306211133998582,0.296760298018591,0.315343151941033,0.319026647438503,0.313576310666171,0.322575379469671,0.262722894771873,0.229940915326655,0.222656557318455,0.233273897048362,0.246598451320732,0.256370950013284,0.246791875118548,0.260663513485256,0.3191213712471,0.314379492886603,0.311760741172592,0.356295810781581,0.350858067514432,0.31321680649365,0.33873680413732,0.334775165174794,0.332142602596486,0.331277951510491,0.335398741445603,0.336745593730337,0.340046953574301,0.33958390671539,0.339622891540433,0.3385637915073,0.298501793916446,0.28683816771959,0.273683758064849,0.312888424737416,0.314068009719904,0.305009944431383,0.294382740586822,0.281643512222316,0.279054351234531,0.266270114175465,0.280209109517482,0.28700512656259,0.295394058486151,0.29174729515487,0.308181433996935,0.29440009214335,0.281356348830726,0.267966336702484,0.250064147311367,0.25279060090133,0.253465775905351,0.251464650208462,0.257334940879788,0.257149322242482,0.256522006312053,0.222385473364849,0.219290592704218,0.212551154251833,0.210562195802783,0.209617752654629,0.208340980811925,0.207248862849186,0.213893731580189
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0.435845022536465,0.534639949828883,0.558948970962083,0.650984747807116,0.652717630294369,0.735877139232392,0.471596596695072,0.274246711998337,0.457273817503125,0.609110292141094,0.576867822181866,0.588856228228026,0.518102811103638,0.437856290296911,0.518778082233331,0.58105910057426,0.625029046334507,0.63394305827784,0.517486890966717,0.290364873212785,0.490304168569656,0.494392244273985,0.48993708979735,0.417392305947802,0.37740845589478,0.596985507478003,0.434127809549723,0.382539210595898,0.404529565248598,0.520842517219745,0.437141255533985,0.418069258819489,0.472407137987946,0.666929187885237,0.479599488514041,0.361410134261227,0.363560421292553,0.516021580051911,0.45442486591303,0.49321096857815,0.523243028094771,0.429422612378097,0.423746251548755,0.441377260906914,0.392634532905657,0.309551884631777,0.379162382297411,0.362467018129742,0.350688223325042,0.349033800869519,0.271913192180174,0.371675624805957,0.346428589523879,0.316708653796375,0.326122237299265,0.367963606887971,0.388082858041042,0.377515683588615,0.37916430184998,0.335437952136866,0.311414939587761,0.333812448580246,0.335756706799199,0.348931470812527,0.358045884376563,0.254107608770813,0.360614091251343,0.353328670632517,0.268369603105542
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",0.247345586225151,0.346303401121221,0.396729503777958,0.460216374609175,0.448764301825354,0.421235769126484,0.368858683099077,0.356768030796865,0.351597708116905,0.476677501411915,0.451360107310549,0.478529961301514,0.499401607638998,0.513874068944287,0.544933520033622,0.502038317998179,0.382178775522566,0.43788656922126,0.579016498839405,0.491721524696113,0.51256774441751,0.498866845814576,0.538285241188752,0.606155241033339,0.637794475739573,0.615738221761969,0.711012205540062,0.805296764964078,0.676640531699153,0.649238413208033,0.764089419475596,0.716585109156526,0.647982730635331,0.663868065383094,0.6092040480625,0.678228415715048,0.647058113116814,0.648221292542975,0.59390972554523,0.630154007185478,0.693915544132454,0.720117423619084,0.65959829808054,0.675046960471649,0.643569190849324,0.673321645878397,0.619498460904379,0.565410942674505,0.580588851906638,0.506972414946623,0.470349731908244,0.480056193475713,0.561944348339842,0.563513577579943,0.652491626282906,0.596279066890645,0.477460762318658,0.506447762361945,0.512058308848252,0.568561351224628,0.530896718541801,0.500112786051551,0.505660215530572,0.448029239985924,0.458956752913594,0.219772481338314,0.473951770446552,0.349253277863175,0.343724873961141
51,"ARM","Armenia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
