"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26890054382.385,29265058689.4061,29678901146.3632,33011757107.8906,34780330056.488,39589169629.9389,41143038133.026,49943751386.6576,57116893447.1231,57360414055.1093,64675178730.6937,68297470348.5577,70158264544.684,71176481723.2911,72785293847.6716,74711922906.3738,75600418108.8303,78557606648.6734,77037691162.3816
8,"ALB","Albania",15865184944.2368,11422593382.1579,10601638926.2564,11615093237.5654,12579478933.5157,14255359046.9679,15552596640.9255,13854255562.9161,15077598480.5087,17021085354.4912,18204056937.0663,19713186004.9507,20608156890.5537,21747798430.9974,22946101840.3448,24215001724.163,25643707156.1698,27177196237.5384,29215477682.6946,30194215621.5199,31313482675.7434,32110511590.6474,32565686438.6613,32891990432.1348,33475654455.6616,34218396285.962,35352669312.5928,36696847617.1258,38190886849.3091,39021039211.5266,37728959169.7297
12,"DZA","Algeria",225296158602.579,222592603380.053,226599275367.621,221840688867.561,219844130315.772,228198195813.542,237554318350.347,240167415708.025,252415962576.877,260493277295.958,270392021832.417,278503782487.959,294099994307.306,315275193898.8,328832027235.722,348233116841.542,354153079829.581,366194284542.222,374982947371.547,380982674530.901,394698050814.148,406144294285.639,419953200292.553,431711889900.744,448116941717.698,464697268559.411,479567581153.623,485801959708.229,491631583227.111,495564635890.876,468402778164.2
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",68524299956.2213,69203621977.5983,65163320249.051,49534929134.6161,50198381863.7314,57728139157.7801,65547051778.05,70315126122.1511,73613711665.7012,75219587217.0244,77517262957.102,80777637917.8797,91816456696.4398,94561631036.5231,104918835770.191,120686998750.232,134623551003.143,153484335057.563,170622608225.526,172087766086.568,179666395220.529,185904369961.674,201784670079.693,211782181648.306,221995647525.415,224090335322.844,218308693423.998,217987314775.762,213619656135.168,212285293091.615,203707884595.18
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",966663703.417127,987703898.745378,999146203.377037,1051899911.0371,1122132187.11631,1073211853.87302,1144091698.48116,1206691916.89803,1263782020.95715,1310638229.51449,1391942771.06598,1328637165.50153,1342288141.36578,1423852866.70121,1505966868.91386,1603460623.68851,1807230781.41138,1975581253.34672,1975297942.11531,1738999029.5376,1602651163.02735,1571261434.96,1624257980.81841,1614498197.98959,1675780151.90114,1739883654.40301,1835538777.10446,1893259104.10692,2024848498.30193,2092704429.15446,1758426085.4054
32,"ARG","Argentina",461383067200.954,503521692862.146,543487677674.491,588091597641.289,622413803601.144,604704826243.565,638124986359.867,689883602459.331,716445355021.616,692190405307.751,686729030353.619,656452248351.554,584935157747.954,636626116266.938,694110738086.543,755551060091.098,816351398559.736,889885482455.565,925990210832.673,871185248000,959396223037.209,1016997908810.97,1006559234253.78,1030770242883.07,1004870951838,1032315583600.75,1010840035079.44,1039330591568.54,1012668104672.59,991523444157.842,893310718364.297
51,"ARM","Armenia",18327906064.5098,16183541332.9899,9418820611.43951,8589964511.29035,9053822833.63031,9678536466.07655,10246221416.4922,10586506596.0205,11359321576.2289,11734179188.3105,12426495760.7871,13619439353.7327,15417205348.1442,17575614097.1234,19421053577.114,22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153,40384118258.2046,37314925270.5811
533,"ABW","Aruba",2301801382.40968,2485090891.60987,2631272708.76339,2823558022.0961,3055199978.5086,3133020318.66048,3170171303.01453,3393569279.62489,3461168699.56895,3504019425.42137,3770906155.29224,3658862852.58389,3539084620.13974,3609000909.43814,3894529306.87018,3941822498.1459,3983235582.05039,4054942823.50401,4051264664.08933,3625081808.90544,3491496478.93603,3611815359.20855,3562338436.47966,3711893680.18288,3723029361.22343,3935242067.42296,4017882134.53394,4098239741.2414,NA,NA,NA
36,"AUS","Australia",530012307110.798,527903824342.974,530079763140.847,551441481761.481,573410304652.557,595416388969.756,618510121466.7,643043558376.41,672473660629.311,706592278189.823,734383520131.719,748563420086.446,778516467181.824,801762457575.165,834277548935.651,861010052424.964,885071297124.329,919095476242.773,952715561619.302,971169604125.624,991247730860.178,1015659746915.8,1055454950014.55,1082737380758.36,1110164360137.99,1134506350410.03,1165939575536.21,1192763305275.68,1227941303727.16,1254476578633.38,1250903336355.91
40,"AUT","Austria",287465131300.805,297358611107.966,303583886832.553,305183194689.357,312514058419.019,320851882029.371,328390405611.459,335265585138.596,347272873352.234,359623047058.37,371762921903.941,376473783389.659,382691450924.031,386294379650.582,396859995346.44,405765792889.372,419781113132.521,435428098573.859,441787193616.25,425155769332.542,432966279087.502,445621005731.947,448653214154.817,448767641865.85,451735220435.945,456318081411.36,465396242901.273,476563833452.257,488859755725.373,495795376624.259,464763371371.245
31,"AZE","Azerbaijan",55540624744.2421,55151840269.5449,42687524343.4612,32826706514.8601,26359845094.2868,23249383443.8207,23551625304.2098,24917619574.7578,27409381822.6163,29437675964.2406,32705257850.1121,35943078419.8626,39335715522.7918,43351223374.8606,47362859458.4811,60606243436.306,81494918186.5947,102246145156.964,113075481507.199,123669607924.191,129592445708.164,127553959620.07,130363895571.512,137981599993.781,141841753136.857,143330448105.275,138939378713.709,139152809949.428,141240661085.239,144743643588.948,138505208279.324
44,"BHS","Bahamas",9762057511.81028,9353829276.42984,8995990870.16526,9023681096.04128,9307829199.57153,9715395965.22558,10125728669.7556,10821947387.4727,10334570530.4632,11595131660.6299,12076240811.145,12393261405.635,12728458348.959,12567503646.1812,12678442051.1332,13108908133.173,13438840203.0417,13633264458.5,13316494572.2697,12760423652.0808,12956728219.4874,13036202737.8372,13438589494.7819,13078572433.7398,13216461976.6181,13246923030.1812,13438213432.3922,13856896226.2225,14276205790.7022,14450071968.8586,12097927075.6159
48,"BHR","Bahrain",19143294359.5147,21293086082.5424,22717593193.6643,25641348952.8748,25577245199.8358,26582428773.7152,27674968221.8626,28530954929.9429,29897588466.6886,31183184459.9341,32835915082.0051,33653840687.5828,34780756594.7147,36970706753.4516,39551617223.3436,42228865351.1674,44959806124.9449,48688754662.264,51729372637.1175,53043239697.4314,55342292396.8801,56440015074.3357,58544160034.475,61715403401.7232,64400264665.9136,66000855034.9501,68349250016.7145,71282082008.2729,72508827312.5724,73951545274.8497,69651497026.7846
50,"BGD","Bangladesh",156587099092.043,162044516224.857,170864089695.163,178914456746.146,185874455334.185,195393602731.684,204231097539.642,213400862434.587,224448682431.005,234930786867.074,247366365800.347,259925868052.997,269889148727.735,282680726834.717,297491876548.729,316935781802.484,338081436016.661,361945250084.025,383711876467.608,403070619485.479,425528860652.846,453036659482.283,482581258491.401,511601792357.536,542610280674.236,578165578311.579,619293260761.415,664403662063.264,716650658732.236,775076929107.665,793489049407.076
52,"BRB","Barbados",3648937305.7672,3506632150.62414,3307016386.92518,3333243275.58636,3400267546.60937,3468748867.00244,3606682874.0353,3777643333.45631,3918491439.22931,3931604883.5599,4106450807.96775,4009314183.29672,4040883586.3148,4128792231.64208,4187074206.4447,4352692151.50881,4609618523.76368,4711126296.5449,4744152748.93305,4503253919.7489,4400289097.59761,4370662427.07295,4350749419.01538,4289553345.47264,4284210831.11573,4389118385.76044,4497911405.39199,4519281462.81962,4493054574.15844,4488735151.30088,3698476984.34943
112,"BLR","Belarus",90636010185.6982,89548382078.8226,80951736149.1807,74799402710.5413,66047869678.0612,59178890906.9179,60835902604.4492,67771198789.7528,73463973673.54,75961748163.7156,80367532170.3519,84165143985.127,88411500624.1222,94638492857.1568,105474357168.12,115388948348.906,126927837197.965,137843639493.308,151903689949.072,152207490204.709,164077036415.003,172902260196.085,175819355671.141,177583651637.882,180649428903.241,173731331560.254,169342102526.663,173630155305.786,179098111978.7,181605485546.401,179971036176.035
56,"BEL","Belgium",353904143630.261,360391469453.4,365907819297.835,362388249645.624,374082415271.233,383003372901.164,388064574535.88,402786415875.155,410688313100.223,425237946468.476,441042677558.702,445892466144.302,453503335912.515,458210621398.552,474574259011.665,485592625431.027,497986648532.65,516297025672.096,518604505439.199,508124840877.904,522679023640.885,531535892341.616,535465097523.465,537924179179.587,546415490633.364,557570338894.561,564633006598.071,573788797293.566,584047682404.834,594471148560.668,557114998004.596
84,"BLZ","Belize",910572675.060908,1014961058.16508,1137348341.55453,1208725887.99461,1210640690.1494,1218443147.72454,1235856074.8366,1279662900.15416,1327528882.04354,1444070663.79439,1632082615.12356,1708490731.81388,1789343507.56414,1956353825.43185,2050062044.17233,2089851758.73983,2190697141.13811,2201891996.25862,2278733688.70896,2283689048.15983,2352280322.16557,2397464447.56011,2455396359.97116,2487333484.28606,2587750350.33105,2655903672.26687,2655053502.70673,2703187932.80396,2781811912.85951,2830794751.36856,2433395861.93757
204,"BEN","Benin",10829251969.6947,11286874436.5493,11620707543.812,12298912033.5651,12547399307.3432,13305914520.933,13881300057.7825,14677349358.5246,15258720948.2003,16073757802.47,17015312596.6121,17922762308.1962,18754921695.056,19400761822.8883,20260154372.6862,20607244157.9321,21419940047.2018,22702212482.9423,23813843817.0103,24366156424.6825,24881272742.8566,25618692190.0679,26851264681.8907,28782255584.8599,30612139032.0882,31156469106.8687,32196993426.2032,34023063767.8647,36301676624.9392,38794036239.5523,40287138158.1103
60,"BMU","Bermuda",3913226388.83793,3774918015.8216,3772662947.20449,3886166044.31753,3909468015.37137,4081451312.28006,4187588450.80187,4380217554.82478,4551046043.59044,4704991866.95012,5143363318.31215,5514839418.43801,5433341640.0347,5618656986.12881,5749081029.13362,5845332495.22823,6169389918.25616,6375764630.20097,6256795678.60925,5904744699.40928,5756956126.27891,5541487978.00699,5247495465.80897,5232817772.57041,5039147649.75544,5078227736.38443,5044853303.55627,5227044136.51153,5204421421.5194,5228356032.22943,NA
64,"BTN","Bhutan",1529010316.68109,1522773855.35289,1592835027.19021,1624474570.00364,1704910487.95891,1825517855.36111,1927111079.64083,2030670917.14528,2150765421.33491,2322481930.82955,2400402785.50963,2600811321.47638,2886699832.15725,3112535088.29575,3299559298.76063,3540006412.38459,3787797589.79803,4483269577.18031,4698442334.64709,5015508904.3698,5614656381.87508,6062852898.98342,6373174013.78458,6508283558.72915,6884234277.35022,7341501096.72828,7938147353.08061,8307416844.22731,8561219214.89645,9029048970.33611,8417592599.55667
