"code","iso","country","PST.raw.2020"
4,"AFG","Afghanistan",2.82
8,"ALB","Albania",3.59
12,"DZA","Algeria",0.82
20,"AND","Andorra",1.29
24,"AGO","Angola",0.21
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",1.36
51,"ARM","Armenia",3
533,"ABW","Aruba",NA
36,"AUS","Australia",0.6
40,"AUT","Austria",1.21
31,"AZE","Azerbaijan",2.77
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",3.02
52,"BRB","Barbados",NA
112,"BLR","Belarus",3.29
56,"BEL","Belgium",3.65
84,"BLZ","Belize",3.46
204,"BEN","Benin",3.25
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",0.69
68,"BOL","Bolivia",1.65
70,"BIH","Bosnia and Herzegovina",3.71
72,"BWA","Botswana",0.13
76,"BRA","Brazil",2.34
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",3.17
100,"BGR","Bulgaria",2.34
854,"BFA","Burkina Faso",1.98
108,"BDI","Burundi",1.52
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",3.02
120,"CMR","Cameroon",2.34
124,"CAN","Canada",3.74
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",0.59
148,"TCD","Chad",0.11
152,"CHL","Chile",2.04
156,"CHN","China",2.91
170,"COL","Colombia",2.7
174,"COM","Comoros",NA
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",3.41
384,"CIV","Cote d'Ivoire",0.76
191,"HRV","Croatia",1.24
192,"CUB","Cuba",3.42
531,"CUW","Curacao",NA
196,"CYP","Cyprus",5.08
203,"CZE","Czech Republic",3.78
180,"COD","Dem. Rep. Congo",3.55
208,"DNK","Denmark",0.97
262,"DJI","Djibouti",0.8
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",3.49
218,"ECU","Ecuador",3.73
818,"EGY","Egypt",3.41
222,"SLV","El Salvador",3.72
226,"GNQ","Equatorial Guinea",3.48
232,"ERI","Eritrea",0.7
233,"EST","Estonia",1.27
748,"SWZ","Eswatini",2.46
231,"ETH","Ethiopia",1.74
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",NA
246,"FIN","Finland",1.21
250,"FRA","France",2.98
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",3.07
270,"GMB","Gambia",2.85
268,"GEO","Georgia",3.28
276,"DEU","Germany",1.8
288,"GHA","Ghana",1.41
300,"GRC","Greece",3.37
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
320,"GTM","Guatemala",3.66
831,"GGY","Guernsey",NA
324,"GIN","Guinea",1.6
624,"GNB","Guinea-Bissau",1.52
328,"GUY","Guyana",1.58
332,"HTI","Haiti",1.57
336,"VAT","Holy See",NA
340,"HND","Honduras",3.56
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",3.02
352,"ISL","Iceland",NA
356,"IND","India",2.46
360,"IDN","Indonesia",1.65
364,"IRN","Iran",1.73
368,"IRQ","Iraq",1.56
372,"IRL","Ireland",2.25
833,"IMN","Isle of Man",NA
376,"ISR","Israel",3.48
380,"ITA","Italy",3.57
388,"JAM","Jamaica",3.23
392,"JPN","Japan",4.01
832,"JEY","Jersey",NA
400,"JOR","Jordan",1.22
398,"KAZ","Kazakhstan",1.11
404,"KEN","Kenya",1.78
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",1.56
417,"KGZ","Kyrgyzstan",2.45
418,"LAO","Laos",0.28
428,"LVA","Latvia",1.53
422,"LBN","Lebanon",4.46
426,"LSO","Lesotho",1.41
430,"LBR","Liberia",3.66
434,"LBY","Libya",0.61
438,"LIE","Liechtenstein",3.73
440,"LTU","Lithuania",1.48
442,"LUX","Luxembourg",1.37
446,"MAC","Macao",NA
450,"MDG","Madagascar",0.89
454,"MWI","Malawi",2.95
458,"MYS","Malaysia",3.71
462,"MDV","Maldives",NA
466,"MLI","Mali",0.01
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",0.33
480,"MUS","Mauritius",NA
484,"MEX","Mexico",1.69
583,"FSM","Micronesia",NA
498,"MDA","Moldova",3.55
492,"MCO","Monaco",NA
496,"MNG","Mongolia",0.03
499,"MNE","Montenegro",2.24
504,"MAR","Morocco",1.84
508,"MOZ","Mozambique",1.18
104,"MMR","Myanmar",3.05
516,"NAM","Namibia",0.14
520,"NRU","Nauru",NA
524,"NPL","Nepal",1.99
528,"NLD","Netherlands",3.66
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",1.25
558,"NIC","Nicaragua",2.71
562,"NER","Niger",0.44
566,"NGA","Nigeria",3.68
570,"NIU","Niue",NA
408,"PRK","North Korea",4.05
807,"MKD","North Macedonia",2.57
578,"NOR","Norway",3.97
512,"OMN","Oman",0.72
586,"PAK","Pakistan",0
585,"PLW","Palau",NA
591,"PAN","Panama",2.66
598,"PNG","Papua New Guinea",2.07
600,"PRY","Paraguay",1.76
604,"PER","Peru",3.41
608,"PHL","Philippines",3.82
616,"POL","Poland",3.24
620,"PRT","Portugal",3.39
634,"QAT","Qatar",1.57
178,"COG","Republic of Congo",0.04
642,"ROU","Romania",2.62
643,"RUS","Russia",2.82
646,"RWA","Rwanda",3.44
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
670,"VCT","Saint Vincent and the Grenadines",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",4.44
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",2.05
686,"SEN","Senegal",1.73
688,"SRB","Serbia",3.57
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",3.43
702,"SGP","Singapore",3.41
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",1.48
705,"SVN","Slovenia",1.67
90,"SLB","Solomon Islands",NA
706,"SOM","Somalia",1.52
710,"ZAF","South Africa",1.45
410,"KOR","South Korea",2.86
728,"SSD","South Sudan",NA
724,"ESP","Spain",3.27
144,"LKA","Sri Lanka",3.15
275,"PSE","State of Palestine",3.99
729,"SDN","Sudan",0.93
740,"SUR","Suriname",3.38
752,"SWE","Sweden",0.7
756,"CHE","Switzerland",2.94
760,"SYR","Syria",2.01
158,"TWN","Taiwan",3.86
762,"TJK","Tajikistan",2.04
834,"TZA","Tanzania",0
764,"THA","Thailand",3.02
626,"TLS","Timor-Leste",0.87
768,"TGO","Togo",2.76
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",4.37
788,"TUN","Tunisia",1.64
792,"TUR","Turkey",3.56
795,"TKM","Turkmenistan",1.63
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",1.05
804,"UKR","Ukraine",4.05
784,"ARE","United Arab Emirates",3.55
826,"GBR","United Kingdom",2.89
840,"USA","United States of America",2.21
858,"URY","Uruguay",1.35
860,"UZB","Uzbekistan",2.39
548,"VUT","Vanuatu",NA
862,"VEN","Venezuela",1.6
704,"VNM","Viet Nam",3.2
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",0
887,"YEM","Yemen",0.58
894,"ZMB","Zambia",1.36
716,"ZWE","Zimbabwe",1.71
