code,iso,country,SPI.raw.1980,SPI.raw.1981,SPI.raw.1982,SPI.raw.1983,SPI.raw.1984,SPI.raw.1985,SPI.raw.1986,SPI.raw.1987,SPI.raw.1988,SPI.raw.1989,SPI.raw.1990,SPI.raw.1991,SPI.raw.1992,SPI.raw.1993,SPI.raw.1994,SPI.raw.1995,SPI.raw.1996,SPI.raw.1997,SPI.raw.1998,SPI.raw.1999,SPI.raw.2000,SPI.raw.2001,SPI.raw.2002,SPI.raw.2003,SPI.raw.2004,SPI.raw.2005,SPI.raw.2006,SPI.raw.2007,SPI.raw.2008,SPI.raw.2009,SPI.raw.2010,SPI.raw.2011,SPI.raw.2012,SPI.raw.2013,SPI.raw.2014,SPI.raw.2015,SPI.raw.2016,SPI.raw.2017,SPI.raw.2018,SPI.raw.2019,SPI.raw.2020,SPI.raw.2021
4,AFG,Afghanistan,0.31,0.31,0.31,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,5.13,5.13,5.13,8.24,13.38,13.38
8,ALB,Albania,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.67,14.11,14.61,14.61,18.55,18.55,18.55,18.71,18.71,22.3,32.68,35.97,41.41,46.63,46.86,48.32,56.21,58.34,60.4,60.4,60.41,60.41,60.41,63.64,63.64,63.64,63.64
12,DZA,Algeria,21.19,21.19,21.19,22.57,23.1,23.1,23.1,34.03,34.03,34.03,34.03,34.03,34.03,34.15,34.15,34.15,34.15,34.15,34.15,34.15,34.15,42.59,42.59,44.76,45.74,45.74,45.74,45.74,73.76,73.88,73.88,73.9,73.9,73.9,73.9,73.9,73.9,73.9,73.9,74.44,74.44,74.44
20,AND,Andorra,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,AGO,Angola,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75
660,AIA,Anguilla,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,ATG,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,8.05,8.05,8.05,8.05,8.05,8.05,38.45,38.45,38.45,38.68,38.68,38.68,38.68,38.68,38.68,38.68,38.68,38.68,38.68,39.15,39.15,39.15,39.15
32,ARG,Argentina,8.69,8.805,12.275,12.725,12.745,12.955,14.415,14.425,14.995,15.085,15.325,15.335,15.875,16.505,16.785,17.665,18.575,19.955,20.295,23.285,25.665,27.005,28.905,30.555,32.155,32.885,33.655,33.675,33.81,34.28,34.305,34.52,34.78,34.82,35.09,35.785,35.83,36.22,37.08,37.125,37.125,37.15
51,ARM,Armenia,8.55,8.58,8.58,8.58,8.58,8.58,8.58,8.64,8.64,8.76,8.76,8.76,8.76,40.18,40.18,40.18,40.18,40.18,40.18,40.18,40.18,40.19,43.22,43.23,43.23,43.23,43.23,43.24,43.24,48.7,48.71,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
533,ABW,Aruba,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,AUS,Australia,11.355,12.12,12.42,12.77,13.03,13.37,13.63,14.48,15.74,16.54,17.535,18.795,19.515,20.345,21.785,22.09,22.455,23.495,24.025,25.415,27.09,27.58,31.315,32.185,33.285,33.935,35.94,37.74,40.15,44.645,47.035,51.86,54.54,59.975,62.08,63.83,67.16,69.41,71.66,71.665,72.37,72.8
40,AUT,Austria,14.925,25.3,26.785,27.725,28.715,28.745,30.195,30.865,30.955,31.035,31.135,31.465,31.485,31.495,31.565,32.42,36.555,42.31,45.725,45.96,46.295,47,49.89,61.43,63.645,64.58,68.115,68.32,68.545,72.575,73.66,74.795,75.025,75.435,75.64,77.93,78.765,78.985,79.54,79.54,79.54,79.8
31,AZE,Azerbaijan,21.955,22.025,22.035,22.035,22.875,22.875,22.89,23.715,23.715,23.715,23.715,23.715,23.715,27.235,27.235,27.235,27.255,27.255,27.255,27.255,27.255,27.265,27.265,32.19,35.81,36.23,44.495,44.495,45.47,49.61,49.61,49.92,49.92,49.92,49.92,49.92,49.92,49.92,50.41,50.595,50.595,50.68
44,BHS,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.42,0.42,0.42,12.9,12.9,12.9,12.9,12.9,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.81,15.81,30.98,30.98,30.98,38.55,38.55,38.55,38.55,38.55,38.55,38.55
48,BHR,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BGD,Bangladesh,0.62,0.99,1.75,5.6,5.6,5.6,6.08,6.08,6.08,6.08,6.08,6.08,19.34,19.34,19.34,19.34,22.32,22.32,22.32,22.67,22.67,22.73,22.73,22.73,22.75,22.76,22.82,22.93,22.93,23.4,24.44,24.46,24.63,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67
52,BRB,Barbados,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.84
