"code","iso","country","TC5.raw.2006","TC5.raw.2007","TC5.raw.2008","TC5.raw.2009","TC5.raw.2010","TC5.raw.2011","TC5.raw.2012","TC5.raw.2013","TC5.raw.2014","TC5.raw.2015","TC5.raw.2016","TC5.raw.2017","TC5.raw.2018","TC5.raw.2019","TC5.raw.2020"
4,"AFG","Afghanistan",1019,1093,956,824,674,635,421,315,247,159,45,5,31,46,85
8,"ALB","Albania",6476,10880,15797,13878,13837,14090,14371,11555,11334,10990,10812,7203,6711,6765,7684
12,"DZA","Algeria",21379,23601,27809,33951,32067,35015,41154,40726,40592,44186,44383,81538,80161,76630,84559
20,"AND","Andorra",33,34,39,19,18,12,18,16,14,15,15,11,23,30,56
24,"AGO","Angola",396656,497906,561579,678136,745036,870416,906681,987569,1035638,1049113,1105917,1239320,1324831,1288803,1400956
660,"AIA","Anguilla",15,24,34,27,23,23,16,7,5,5,4,3,1,1,1
28,"ATG","Antigua and Barbuda",183,202,231,267,225,190,186,162,125,115,104,145,288,287,293
32,"ARG","Argentina",1498215,1821230,2164332,2035334,2078594,2262405,2315149,2098999,2032375,1799698,1530441,1286580,1079905,982402,1001565
51,"ARM","Armenia",891,773,489,609,668,712,857,786,621,460,316,166,129,91,108
533,"ABW","Aruba",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",1394065,1455482,1248567,1339571,1477316,1380438,1123928,1150273,1231502,1151394,1492224,1615788,1642353,3091680,5331440
40,"AUT","Austria",74291,95080,107504,108793,103847,109351,88823,69586,63593,54820,53972,61260,79950,103761,121795
31,"AZE","Azerbaijan",3592,2940,2369,2151,2459,2078,2173,1854,1816,1283,1158,631,549,223,220
44,"BHS","Bahamas",4066,3974,5652,5888,4836,4432,4194,3860,4047,4789,7385,11005,10330,11005,12749
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",20688,20704,23050,24404,25803,23119,24558,26443,33663,42424,60929,85651,100010,110573,119879
52,"BRB","Barbados",37,58,69,75,83,97,182,173,161,145,142,40,58,110,131
112,"BLR","Belarus",174741,181997,185767,182699,182255,185363,192329,184630,182848,181197,227143,266792,326615,368308,403436
56,"BEL","Belgium",19015,22657,27989,28373,36264,34357,34005,30110,29180,21688,21211,19750,21099,22472,24484
84,"BLZ","Belize",37055,35833,37205,43157,44813,66936,66196,74366,80605,83137,77291,82201,77015,79007,93250
204,"BEN","Benin",21438,25146,19056,30078,26878,24922,21310,25470,19953,21894,27044,29142,32770,29894,35101
60,"BMU","Bermuda",2,1,1,0,1,1,2,4,5,4,4,3,1,0,0
64,"BTN","Bhutan",3210,3498,3726,3888,7537,8021,8290,8020,8101,4459,5380,6639,7436,7022,7597
68,"BOL","Bolivia",1016638,1027323,1233999,1255591,1456631,1570850,1654947,1464836,1497381,1211857,1354366,1545379,1667933,2265929,2530105
70,"BIH","Bosnia and Herzegovina",6325,8397,9671,6813,7152,7589,7344,8421,8919,8605,10012,8893,8995,8434,9706
72,"BWA","Botswana",452,479,499,472,399,368,319,323,266,203,152,116,63,16,24
76,"BRA","Brazil",17122548,16234841,15425646,13377583,12585520,11628673,11951917,11478409,12411613,11977322,15503756,17134595,18150777,18138050,19215877
92,"VGB","British Virgin Islands",15,18,23,25,25,37,32,28,24,20,8,237,240,240,240
96,"BRN","Brunei Darussalam",5382,5860,6361,7334,7023,8630,8902,8494,8568,9384,9366,8480,8404,7349,6746
100,"BGR","Bulgaria",29837,34772,36028,33952,30947,29092,29534,26811,27454,31235,35383,33270,39456,36883,34417
854,"BFA","Burkina Faso",256,258,313,317,398,503,475,441,416,237,135,178,207,216,261
108,"BDI","Burundi",5083,6179,7201,7584,8547,9217,7988,7436,9014,8740,9786,11240,13374,13874,14627
132,"CPV","Cabo Verde",48,25,15,24,20,30,39,49,43,41,24,14,15,11,14
116,"KHM","Cambodia",340511,362648,389002,431246,606212,719551,842401,957425,1005942,906486,901550,825098,747551,731359,744110
120,"CMR","Cameroon",144012,163909,177117,190740,226322,216743,220048,269751,420471,440397,530614,669608,705865,643732,769896
124,"CAN","Canada",12186866,11980911,12343838,11173364,10355101,10099421,10548832,11469255,12623720,13258049,13171589,13192050,12450360,11909746,10331566
136,"CYM","Cayman Islands",87,99,126,110,140,163,154,139,116,76,109,177,203,206,215
140,"CAF","Central African Republic",156637,159927,179996,214600,234304,223063,243139,258633,273018,254344,257587,268658,266320,258985,288326
148,"TCD","Chad",24431,20513,32453,34680,33756,24989,30512,29158,37200,46022,54742,67550,76792,82510,83483
152,"CHL","Chile",445958,489560,529785,532597,517130,524642,578148,558454,590903,607049,623584,669108,644458,604364,569235
156,"CHN","China",1989928,2397046,2875116,2973630,3220276,3243769,3201749,2923272,2876870,2760972,2920973,3000018,3152394,3133311,3075764
170,"COL","Colombia",940451,1027689,1137226,1121296,1129552,1129239,1088041,995379,960479,904925,1008072,1207948,1423316,1490435,1675384
174,"COM","Comoros",210,248,256,328,333,446,508,2358,3769,4114,4116,4294,2629,1394,1225
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",58275,56418,70128,82846,79352,79795,78714,64576,53134,43266,46637,58466,63101,63636,68666
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",15957,16875,19049,15182,15942,16658,18446,17573,19250,18523,21092,22171,27592,29055,32403
192,"CUB","Cuba",69393,62175,72766,66897,62638,66752,69252,58237,47916,46198,104169,171267,180399,182064,187986
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",247,1007,1080,1049,1080,1141,415,352,381,346,901,1406,1410,1392,1418
203,"CZE","Czech Republic",58381,72951,85910,85966,75836,89091,81773,72590,73091,65718,66749,79345,110968,170488,263002
180,"COD","Dem. Rep. Congo",2156780,2107551,2237399,2477613,2811569,2788145,2957255,3484135,4199527,4314303,5276724,6121846,6571277,6440124,6822805
208,"DNK","Denmark",19496,22677,27162,31401,26775,24689,24764,20729,19445,17628,19214,19184,20382,24345,24992
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",195,223,289,284,324,344,449,378,316,226,188,23337,24094,24141,24205
214,"DOM","Dominican Republic",79648,85309,96256,90799,79766,79305,81181,72628,72580,73793,86021,95584,96773,98153,104673
218,"ECU","Ecuador",157365,188240,226347,246763,240089,248077,261793,258816,232299,228747,229405,226394,216253,220760,239565
818,"EGY","Egypt",422,461,485,416,472,547,997,1059,1178,1105,1051,607,551,392,370
222,"SLV","El Salvador",25928,24223,21538,21256,18223,16839,16397,15174,13269,12835,15400,17692,18319,18212,18000
226,"GNQ","Equatorial Guinea",8261,8448,11329,16612,21622,28095,29888,32361,45939,46806,48636,55631,56162,46426,43826
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",82248,76517,89186,89902,96577,102030,103529,102360,107167,111135,120380,141673,164701,187120,198613
748,"SWZ","Eswatini",30341,33019,31920,37242,39600,32389,29479,28146,22835,19447,22014,25597,24379,23597,23210
231,"ETH","Ethiopia",75359,88475,100527,117380,122246,125962,142752,151667,158620,148481,155951,151394,136879,126798,135356
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
