"code","iso","country","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018","TCC.raw.2019","TCC.raw.2020"
4,"AFG","Afghanistan",180,245,203,238,153,254,108,71,88,114,40,2,3,0,0,0,28,18,39
8,"ALB","Albania",893,625,3274,707,977,5297,5542,1355,666,1230,5578,2726,1134,322,1052,1969,2234,1188,1241
12,"DZA","Algeria",3050,3865,4433,4530,5501,5272,8073,10575,2646,8449,11411,7645,10441,6240,8646,48566,6268,6910,14169
20,"AND","Andorra",1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,15,8,28
24,"AGO","Angola",65789,57538,80278,106299,86752,167039,121211,196835,173199,212132,203304,202099,244904,186674,268936,336707,287610,208876,298827
660,"AIA","Anguilla",0,1,9,4,1,9,11,2,0,1,2,2,0,0,0,1,0,0,0
28,"ATG","Antigua and Barbuda",18,17,26,61,61,37,46,62,19,26,33,22,25,9,15,74,165,24,15
32,"ARG","Argentina",107195,255875,441454,372946,320745,430210,598977,312456,416206,504556,482954,382827,245832,183529,235299,239093,176152,148329,202692
51,"ARM","Armenia",174,398,84,104,131,56,114,204,163,175,201,43,39,2,31,51,6,1,19
533,"ABW","Aruba",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",344770,452331,138632,231679,226653,406187,245416,229636,369424,129775,149677,271761,310865,289316,470605,273241,298326,1760192,2529076
40,"AUT","Austria",10913,14494,14613,21675,12596,31702,26918,15902,16729,18100,11174,7681,9909,7956,17252,18462,26371,33720,25990
31,"AZE","Azerbaijan",1165,1047,596,252,532,513,476,378,560,151,608,157,340,27,26,81,75,14,24
44,"BHS","Bahamas",705,279,595,1456,1031,613,1957,831,404,627,375,1623,1018,1146,3223,3995,948,1693,2890
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",4011,2166,4306,3306,6899,4027,4512,5660,4705,4215,5466,6397,12880,13466,22720,30188,20756,23443,22772
52,"BRB","Barbados",12,3,8,10,4,33,14,14,18,18,118,5,2,2,15,16,23,54,23
112,"BLR","Belarus",25425,32154,38639,36223,42300,32681,35924,35571,35779,45408,39647,28225,33789,34128,91354,79296,88048,75482,69256
56,"BEL","Belgium",2352,1893,4803,3037,6930,5994,7225,5187,10928,5023,5642,3330,4257,3436,4546,4181,4679,5630,5448
84,"BLZ","Belize",13498,6851,4318,8115,4273,12276,8223,10270,9771,26396,11536,16393,16509,12303,20550,16446,11207,18501,26546
204,"BEN","Benin",6031,6958,1178,4119,3152,9739,868,12200,919,1196,6127,5028,6683,2860,6346,8225,8656,3807,8067
60,"BMU","Bermuda",1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
64,"BTN","Bhutan",226,553,1025,777,629,514,781,1187,4426,1113,783,511,1268,784,2034,2042,1308,854,1359
68,"BOL","Bolivia",179624,164281,204236,251575,216922,190309,370957,225828,452615,331141,274406,180846,258373,167091,473650,465419,303400,856369,431267
70,"BIH","Bosnia and Herzegovina",717,315,4169,578,546,2789,1589,1311,917,983,2544,2666,1809,603,2390,1425,2768,1248,1875
72,"BWA","Botswana",64,34,132,137,85,91,54,105,64,54,42,58,48,1,3,6,5,1,9
76,"BRA","Brazil",3538090,3280973,3886568,3512463,2904454,2650383,2471778,1838505,2720400,1947607,2973627,1998270,2771709,2286109,5474041,4604466,3014452,2758982,3363936
92,"VGB","British Virgin Islands",3,2,3,4,3,6,7,5,4,15,1,3,1,0,3,230,6,1,0
96,"BRN","Brunei Darussalam",1090,800,1198,1279,1015,1568,1301,2171,968,2622,1840,893,2245,1784,2604,954,817,1190,1181
100,"BGR","Bulgaria",4656,5214,8191,6580,5196,9591,6470,6115,3575,3341,10033,3747,6758,7356,7489,7920,9933,4185,4890
854,"BFA","Burkina Faso",45,6,52,122,31,47,61,56,203,136,19,27,31,24,34,62,56,40,69
108,"BDI","Burundi",1193,1495,739,1224,432,2289,2517,1122,2187,1102,1060,1965,2700,1913,2148,2514,4099,3200,2666
132,"CPV","Cabo Verde",24,10,1,6,7,1,0,10,2,17,10,10,4,0,0,0,11,0,3
116,"KHM","Cambodia",56357,57729,80086,65195,81144,78494,84083,122330,240161,194483,201344,199107,170847,140705,189547,124892,121560,154655,153456
120,"CMR","Cameroon",30103,25859,23822,25921,38307,50000,39067,37445,61503,28728,53305,88770,188165,81429,118945,192299,125027,126032,207593
124,"CAN","Canada",2369143,1631121,2753040,2969472,2464090,2163188,1994048,1582566,2151209,2208410,2612599,2914471,2737031,2785538,2121950,2633060,2172781,2196417,1207358
136,"CYM","Cayman Islands",6,6,47,10,18,18,33,31,40,41,9,18,8,0,74,77,44,11,9
140,"CAF","Central African Republic",35866,14052,15036,30133,61550,39156,34121,49640,49837,50309,59232,49615,64025,31163,53552,70303,47277,56690,60504
148,"TCD","Chad",7189,828,2464,1996,11954,3271,12768,4691,1072,3187,8794,11414,12733,9894,11907,21602,20656,18451,10867
152,"CHL","Chile",78151,82939,85812,107052,92004,121753,123164,88624,91585,99516,175259,103470,121073,107731,116051,220783,78820,80979,72602
156,"CHN","China",251225,264382,506464,386514,581343,658343,742452,604978,633160,604836,616323,463975,558576,517262,764837,695368,616351,539493,459715
170,"COL","Colombia",182745,123010,254690,189367,190639,269983,232547,238760,197623,190326,228785,139885,203860,142069,293473,428661,355253,270979,327018
174,"COM","Comoros",41,27,41,88,13,79,35,113,93,126,141,1885,1524,438,128,319,220,289,269
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",13355,8291,9834,16695,10100,11498,22001,22552,13201,10543,10417,7863,11110,3333,13914,22246,12498,11645,8363
384,"CIV","Cote d'Ivoire",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
191,"HRV","Croatia",2377,1774,6806,2766,2234,3295,3948,2939,3526,2950,5083,3075,4616,2799,5519,6162,8496,6079,6147
192,"CUB","Cuba",15157,6652,22271,12927,12386,7939,17243,16402,8668,16500,10439,6228,6081,6950,74471,77537,15360,7746,12872
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",33,26,90,37,61,793,99,59,68,122,67,36,88,33,677,572,40,70,59
203,"CZE","Czech Republic",6777,3932,13470,25586,8616,21347,16891,13526,15456,21871,14029,7708,14027,8083,22902,26625,39331,73547,100597
180,"COD","Dem. Rep. Congo",520427,280292,405033,492771,458257,471198,410140,645247,826727,434833,640308,937020,1360639,941503,1397254,1485430,1386451,1229486,1324184
208,"DNK","Denmark",1208,1585,2420,9061,5222,4389,6070,6659,4435,3136,4464,2035,5375,2618,4722,4434,3233,9338,3265
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",12,27,79,52,25,40,93,74,92,45,145,22,12,2,7,23294,779,59,66
214,"DOM","Dominican Republic",10525,10805,19534,25227,13557,16186,21752,14077,14194,13096,18062,13199,14029,15407,25324,27625,14388,15409,21927
