code,iso,country,WST.raw.1970,WST.raw.1975,WST.raw.1980,WST.raw.1985,WST.raw.1989,WST.raw.1990,WST.raw.1991,WST.raw.1992,WST.raw.1993,WST.raw.1994,WST.raw.1995,WST.raw.1996,WST.raw.1997,WST.raw.1998,WST.raw.1999,WST.raw.2000,WST.raw.2001,WST.raw.2002,WST.raw.2003,WST.raw.2004,WST.raw.2005,WST.raw.2006,WST.raw.2007,WST.raw.2008,WST.raw.2009,WST.raw.2010,WST.raw.2011,WST.raw.2012,WST.raw.2013,WST.raw.2014,WST.raw.2015,WST.raw.2016,WST.raw.2017,WST.raw.2018,WST.raw.2019
4,AFG,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,0.111,0.111,0.109,NA,NA
12,DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA
20,AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.072,0.07,0.072,0.15,0.232,0.189,0.144,0.703,0.748,0.877,1,0.948,1,1,1,1,1,NA,NA,NA,NA
24,AGO,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
660,AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,ARG,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA
51,ARM,Armenia,NA,NA,NA,NA,NA,0.354,NA,NA,NA,NA,0.334,0.357,0.338,0.286,0.381,0.331,0.475,0.54,0.408,0.292,0.238,0.255,0.251,0.196,0.175,0.146,0.153,0.122,0.079,0.152,0.088,0.082,0.117,NA,NA
533,ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
