"code","iso","country","WWT.raw.2020"
4,"AFG","Afghanistan",0
8,"ALB","Albania",0.01853
12,"DZA","Algeria",0.3312
20,"AND","Andorra",1
24,"AGO","Angola",0
660,"AIA","Anguilla",-8888
28,"ATG","Antigua and Barbuda",0.157114912038728
32,"ARG","Argentina",0.059236
51,"ARM","Armenia",0.044811
533,"ABW","Aruba",-8888
36,"AUS","Australia",0.929
40,"AUT","Austria",0.94
31,"AZE","Azerbaijan",0.039
44,"BHS","Bahamas",0.174214280808331
48,"BHR","Bahrain",0.88
50,"BGD","Bangladesh",0
52,"BRB","Barbados",0
112,"BLR","Belarus",0.557886
56,"BEL","Belgium",0.6816
84,"BLZ","Belize",0.00412421815339915
204,"BEN","Benin",0.096030598693752
60,"BMU","Bermuda",-8888
64,"BTN","Bhutan",0
68,"BOL","Bolivia",0.03509
70,"BIH","Bosnia and Herzegovina",0.01147
72,"BWA","Botswana",0.0095
76,"BRA","Brazil",0.52409
92,"VGB","British Virgin Islands",-8888
96,"BRN","Brunei Darussalam",0.0582347424425344
100,"BGR","Bulgaria",0.1392
854,"BFA","Burkina Faso",0
108,"BDI","Burundi",0
132,"CPV","Cabo Verde",0.247
116,"KHM","Cambodia",0
120,"CMR","Cameroon",0
124,"CAN","Canada",0.6744
136,"CYM","Cayman Islands",-8888
140,"CAF","Central African Republic",0
148,"TCD","Chad",0
152,"CHL","Chile",0.71856
156,"CHN","China",0.0936
170,"COL","Colombia",0.25872
174,"COM","Comoros",0.100617833154652
184,"COK","Cook Islands",-8888
188,"CRI","Costa Rica",0.071744
384,"CIV","Cote d'Ivoire",0.0115875231398336
191,"HRV","Croatia",0.68992
192,"CUB","Cuba",0.01695
531,"CUW","Curacao",-8888
196,"CYP","Cyprus",0.5
203,"CZE","Czech Republic",0.615
180,"COD","Dem. Rep. Congo",0.00148334047969916
208,"DNK","Denmark",1
262,"DJI","Djibouti",0
212,"DMA","Dominica",0.00913580605354056
214,"DOM","Dominican Republic",0.05844
218,"ECU","Ecuador",0
818,"EGY","Egypt",0.41958
222,"SLV","El Salvador",7e-04
226,"GNQ","Equatorial Guinea",0.0125
232,"ERI","Eritrea",0
233,"EST","Estonia",0.704
748,"SWZ","Eswatini",0.7
231,"ETH","Ethiopia",0.000781314967960089
