WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
213,ARG,Argentina,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2023,422.63,445.987,482.16,500.725,483.773,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.377,693.224,624.295,689.211,725.346,2021
213,ARG,Argentina,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.943,10.398,5.243,2021
213,ARG,Argentina,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,451.815,389.064,486.702,632.241,2021
213,ARG,Argentina,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,12151.83,12671.67,13542.17,13906.94,13290.99,13048,12347.75,10897.11,11761.97,12690.7,13682.99,14640.5,15802.84,16282.96,15170.84,16439.06,17226.27,16856.72,17070.07,16459.21,16727.44,16207.2,16492.07,15898.09,15425.98,13754.6,15034.49,15666.09,2010
213,ARG,Argentina,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8295.12,8645.46,9196.52,9283.18,8709.07,8638.54,8085.36,2997.62,3761.09,4314.1,5163.55,5976.08,7315.73,9146.79,8337.81,10412.97,12787.81,13889.79,14488.83,13208.83,14895.32,12772.87,14618.33,11786.43,10054.02,8571.94,10616.95,13655.2,2010
213,ARG,Argentina,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2010 Notes: Based on the National Census of 2010 Primary domestic currency: Argentine peso Data last updated: 03/2023,34.779,35.196,35.604,36.005,36.399,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.045,44.495,44.939,45.388,45.842,46.3,2010
193,AUS,Australia,Gross domestic product constant prices,National currency,Billions,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2022. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2020. The base period is 2020Q1-2020Q4 Chain-weighted: Yes from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2023,983.663,1023.25,1070.56,1120.34,1169.14,1205.29,1237.29,1288.82,1327.73,1382.32,1423.77,1461.02,1524.94,1563.7,1594.18,1632.68,1677.79,1741.01,1779.37,1824.91,1866.58,1916.81,1962.48,2017.73,2056.95,2019.64,2124.58,2202.36,2022
193,AUS,Australia,Gross domestic product constant prices,Percent change,,See notes for:  Gross domestic product constant prices (National currency).,2.955,4.024,4.624,4.65,4.355,3.092,2.655,4.164,3.019,4.112,2.998,2.616,4.375,2.542,1.949,2.415,2.763,3.768,2.203,2.56,2.283,2.691,2.383,2.815,1.943,-1.814,5.196,3.661,2022
193,AUS,Australia,Gross domestic product current prices,U.S. dollars,Billions,See notes for:  Gross domestic product current prices (National currency).,379.071,424.689,426.424,381.387,411.727,399.96,377.78,425.288,541.063,658.572,735.94,782.797,949.526,1056.49,1000.8,1254.5,1515.08,1569.43,1519.02,1456.6,1233.1,1263.52,1381.62,1417.03,1385.26,1360.69,1646.39,1701.89,2022
193,AUS,Australia,Gross domestic product per capita constant prices,National currency,Units,See notes for:  Gross domestic product constant prices (National currency) Population (Persons).,54287.19,55823.33,57836.83,59893.18,61796.19,62968.74,63822.38,65737.62,66965.03,68957.34,70096.35,70828.44,72560.35,72812.83,72908.14,73635.37,74495,75933.63,76374.97,77194.9,77824.08,78603.07,79255.46,80226.22,80579.75,78773.37,82454.91,84795.22,2021
