"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019"
4,"AFG","Afghanistan",0.001213715,0.001301638,0.001346168,0.001457343,0.001551545,0.001678791,0.001680549,0.001801575,0.00185898,0.001889333,0.001967894,0.002024412,0.002046252,0.002255563,0.002236815,0.002263465,0.002283607
8,"ALB","Albania",0.016917499,0.015107582,0.01519332,0.014096257,0.012679278,0.011593873,0.010172971,0.008574383,0.009351356,0.008512298,0.007810464,0.00705557,0.007237174,0.006460226,0.006505618,0.0065626,0.006018663
12,"DZA","Algeria",0.006182501,0.006672429,0.006893143,0.006898151,0.006748544,0.006713361,0.006535088,0.006301703,0.007531521,0.008785021,0.00844238,0.01027699,0.011476632,0.012211239,0.012916941,0.01356521,0.01405927
20,"AND","Andorra",0.007149325,0.006503877,0.006109852,0.005810696,0.005016303,0.004626769,0.004151466,0.00348502,0.003405318,0.003170378,0.002839979,0.002769013,0.002588724,0.00238719,0.00220652,0.001925551,0.001824439
24,"AGO","Angola",0.001648334,0.001679319,0.001670202,0.001711105,0.001834656,0.001837964,0.001779257,0.001859136,0.001997476,0.001799217,0.00193696,0.001860749,0.002006352,0.002174768,0.002034313,0.002164288,0.002398781
660,"AIA","Anguilla",0.000849156,0.000695774,0.000840771,0.000804942,0.000806901,0.000649514,0.000702527,0.000920403,0.000703048,0.000756441,0.000648358,0.000673515,0.000743073,0.000800663,0.000648497,0.000535286,0.000618198
28,"ATG","Antigua and Barbuda",0.003332315,0.002861474,0.003521809,0.003366661,0.003079073,0.002614223,0.00270033,0.003693258,0.003045467,0.002878799,0.002697422,0.002681698,0.002929175,0.003486752,0.002111615,0.001995766,0.002162165
32,"ARG","Argentina",0.002502351,0.002285282,0.002177671,0.002213143,0.002106457,0.002181865,0.00197706,0.001848794,0.001809862,0.001775079,0.001779351,0.001687924,0.001695854,0.001622048,0.001584146,0.001559696,0.001533966
51,"ARM","Armenia",0.00535198,0.005427218,0.005577453,0.006409659,0.007123352,0.008385675,0.008782975,0.009467873,0.009385181,0.009659952,0.009667305,0.00993838,0.009548561,0.009799213,0.009959396,0.009316295,0.010229359
533,"ABW","Aruba",0.002600435,0.002454601,0.002611942,0.002440512,0.002377966,0.002147195,0.002184276,0.002378887,0.002230137,0.002237193,0.002191549,0.002101372,0.002150189,0.002358435,0.002290414,0.002145283,0.002281017
36,"AUS","Australia",0.017093044,0.016509948,0.016572089,0.015575422,0.014560302,0.013934555,0.013360065,0.012901608,0.012012038,0.011573199,0.011080724,0.010781767,0.010333113,0.009342279,0.00872793,0.008080565,0.008088235
